PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Donte DiVincenzo,NYK,26,76,203,Villanova,USA,2018,1,17,46,11.4,3.1,2.2,2.3,3.4,10.7,18.9,62.2,13.9
D'Moi Hodge,LAL,25,75,188,Missouri,British Virgin Islands,Undrafted,Undrafted,Undrafted,7,2,0,0.7,-44.2,0,0,17.2,44.1,22.7
Buddy Hield,IND,31,76,220,Oklahoma,Bahamas,2016,1,6,47,12.3,3.2,2.7,3.5,2.6,10.3,18.4,58.7,12.5
Kelly Oubre Jr.,PHI,28,79,203,Kansas,USA,2015,1,15,32,12.8,4.2,1.1,4.2,3.3,11.5,18.4,57.1,5.5
Jeff Green,HOU,37,80,235,Georgetown,USA,2007,1,5,43,6.3,2.1,0.7,-3.2,3.7,8.3,14.3,62.5,6.3
Walker Kessler,UTA,22,85,245,Auburn,USA,2022,1,22,39,8.4,7.4,0.8,0.5,10.3,18.9,13,65,4.7
Udoka Azubuike,PHX,24,83,270,Kansas,Nigeria,2020,1,27,12,2.9,2.6,0.3,-12.6,11,18.3,12.7,65.2,4
Jacob Toppin,NYK,23,80,200,Kentucky,USA,Undrafted,Undrafted,Undrafted,3,0,0,0.3,-2.8,0,0,0,0,50
Derrick Jones Jr.,DAL,26,78,210,UNLV,USA,Undrafted,Undrafted,Undrafted,43,10.1,3.6,1,-3.4,4.5,9,15.1,60,5.3
Max Christie,LAL,20,77,190,Michigan State,USA,2022,2,35,37,4.8,2.6,1,-1.9,1.5,12.8,13.4,51.7,7.9
Naz Reid,MIN,24,81,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,46,12.4,4.5,1,5.8,4.3,15,21.4,61.3,7.3
Zach LaVine,CHI,28,77,200,UCLA,USA,2014,1,13,25,19.5,5.2,3.9,-5.4,0.9,13.4,23.8,57.8,17.2
Andre Drummond,CHI,30,83,279,Connecticut,USA,2012,1,9,47,7.8,8.3,0.6,-1.6,19.5,32.9,20.7,56.7,5.5
Charles Bassey,SAS,23,82,230,Western Kentucky,Nigeria,2021,2,53,19,3.3,4,1.1,-11.6,10.2,26.5,11,73.9,13.6
Jordan Nwora,TOR,25,80,225,Louisville,USA,2020,2,45,21,5.8,2,1.2,-2.9,4.9,14.2,21.5,54.8,15.1
Dalen Terry,CHI,21,79,195,Arizona,USA,2022,1,18,31,2.3,1.5,1.2,3.5,3.3,12.8,12.3,48.2,15.4
Austin Reaves,LAL,25,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,47,15.1,4.1,5.2,-3.7,2.6,10.5,19.6,61.3,24.3
Jermaine Samuels Jr.,HOU,25,78,230,Villanova,USA,Undrafted,Undrafted,Undrafted,7,1.7,1.4,0.3,-21.5,4.7,20,8.4,67.6,5.7
Jabari Smith Jr.,HOU,20,83,220,Auburn,USA,2022,1,3,40,13.7,8.7,1.5,-0.7,6,20.2,17.5,58.7,6.6
Nicolas Batum,PHI,35,80,230,None,France,2008,1,25,33,5.8,3.8,2.3,10.4,4.9,10.2,8.1,69.8,11.3
Lamar Stevens,BOS,26,79,230,Penn State,USA,Undrafted,Undrafted,Undrafted,18,2.7,1.6,0.4,-1.2,8.5,13.8,19.2,52.4,11.4
Keon Johnson,BKN,21,77,185,Tennessee,USA,2021,1,21,1,12,1,1,-32.1,0,5.9,19.3,61.5,5.9
Peyton Watson,DEN,21,79,200,UCLA,USA,2022,1,30,45,6.8,2.7,1,-1.5,3,11.1,16.3,55.5,8.2
Svi Mykhailiuk,BOS,26,79,205,Kansas,Ukraine,2018,2,47,21,2.6,0.9,0.3,2.4,3,7.1,17.1,45.3,6.3
Jaime Jaquez Jr.,MIA,22,78,225,UCLA,USA,2023,1,18,40,13.8,3.8,2.7,-0.6,4.1,8.7,18.8,60,13.8
James Harden,LAC,34,77,220,Arizona State,USA,2009,1,3,39,17.2,4.7,8.6,10.7,1.1,12.5,20.2,63.8,33.5
Bilal Coulibaly,WAS,19,80,195,None,France,2023,1,7,44,8.1,4.1,1.8,-9,2.8,12.4,13.6,55.9,9
Colin Castleton,LAL,23,82,250,Florida,USA,Undrafted,Undrafted,Undrafted,5,3.2,1.8,0.6,-15.5,13.8,17.2,16.2,74.3,16.7
Nick Smith Jr.,CHA,19,74,185,Arkansas,USA,2023,1,27,29,6.4,1.6,1.2,-19.4,3,7.6,19.6,54.8,13.2
Onyeka Okongwu,ATL,23,82,240,Southern California,USA,2020,1,6,45,9.2,6.7,1.4,-1.2,9.8,17.4,13,65.2,7.7
Wesley Matthews,ATL,37,77,220,Marquette,USA,Undrafted,Undrafted,Undrafted,19,2.1,1.4,0.6,-5.4,1.7,9.9,10.4,42.2,7.5
Pete Nance,CLE,23,82,225,North Carolina,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,44.6,0,0,25,0,0
Day'Ron Sharpe,BKN,22,81,265,North Carolina,USA,2021,1,29,37,7.5,7,1.4,7.7,16.5,24.1,18.2,59.8,12.6
Nikola Vucevic,CHI,33,82,260,Southern California,Montenegro,2011,1,16,42,16.9,10.5,3.5,-1.8,7.7,23.3,22.8,52.8,16.2
De'Aaron Fox,SAC,26,75,185,Kentucky,USA,2017,1,5,38,27.7,4,5.6,3.4,2.3,8.9,30.4,57.9,23.9
Jose Alvarado,NOP,25,73,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,29,6.8,2.1,1.8,10.6,2.4,9.6,18.4,53.7,16.4
Nickeil Alexander-Walker,MIN,25,77,205,Virginia Tech,Canada,2019,1,17,46,6.7,1.8,2.6,3,1.9,6,12.8,57.1,15.8
Myles Turner,IND,27,83,250,Texas,USA,2015,1,11,45,17.2,7,1.3,4.9,6.3,19.4,22.8,62.8,6.2
Patrick Baldwin Jr.,WAS,21,81,220,Wisconsin-Milwaukee,USA,2022,1,28,15,2.9,1.9,0.4,14.3,4.4,19.4,15.3,62.1,7.7
Seth Lundy,ATL,23,76,220,Penn State,USA,2023,2,46,9,1.6,0.8,0,-11.7,2.2,11.8,16.8,37.3,0
Josh Minott,MIN,21,80,205,Memphis,USA,2022,2,45,15,1.7,0.2,0.2,-5.8,2,4.1,19.2,55.8,10.3
Mouhamed Gueye,ATL,21,82,210,Washington State,Senegal,2023,2,39,2,0,0,0,-117.3,0,0,8.3,0,0
Grant Williams,DAL,25,78,236,Tennessee,USA,2019,1,22,42,8.5,3.6,1.8,-4.6,3.5,9.9,13.4,56.8,9.1
Anthony Black,ORL,20,79,200,Arkansas,USA,2023,1,6,43,5,2.3,1.7,-1.9,2.9,9.2,11.5,56.5,12.1
Michael Porter Jr.,DEN,25,82,218,Missouri,USA,2018,1,14,47,16,7,1.4,8.9,4.2,18.4,19.5,59.8,5.8
Jalen Green,HOU,21,76,186,None,USA,2021,1,2,45,17.8,4.7,3.2,-1.9,1.2,13.6,26.5,52.9,15.8
Andrew Wiggins,GSW,28,79,197,Kansas,Canada,2014,1,1,39,12.3,4.2,1.6,-7.8,6.1,9,20.7,51,8.4
Tyler Herro,MIA,24,77,195,Kentucky,USA,2019,1,13,27,21.6,5.3,4.1,-3.9,1.6,14,27.5,55.2,20.2
Tyrese Maxey,PHI,23,74,200,Kentucky,USA,2020,1,21,42,25.7,3.6,6.6,10.4,1.5,7.9,26.2,57.8,26
Chris Boucher,TOR,31,81,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,43,6.2,4.1,0.4,3.1,8.2,19.8,16.5,58.9,3.9
Chris Paul,GSW,38,73,175,Wake Forest,USA,2005,1,4,32,8.9,3.8,7.2,4,1.1,11.8,14,54.3,34.4
Spencer Dinwiddie,BKN,30,77,215,Colorado,USA,2014,2,38,43,13.1,3.4,6,-0.8,1.7,9,18.9,53.7,27.3
Jaylin Williams,OKC,21,81,240,Arkansas,USA,2022,2,34,38,3.5,3.1,1.3,7.8,4.1,22.4,13.4,53.2,14
Luguentz Dort,OKC,24,76,220,Arizona State,Canada,Undrafted,Undrafted,Undrafted,44,10.8,3.8,1.3,7.8,4.5,8.5,14.8,60.1,5.5
Malaki Branham,SAS,20,76,180,Ohio State,USA,2022,1,20,42,8.4,2,2.3,-15.1,1.3,8,18.2,51.3,15.2
Dereon Seabron,NOP,23,77,180,North Carolina State,USA,Undrafted,Undrafted,Undrafted,5,2.8,1.4,0.8,26.6,2.2,8.6,12.8,44.8,9.8
Ochai Agbaji,UTA,23,77,215,Kansas,USA,2022,1,14,47,5.6,2.6,0.9,-5.2,3.6,8.3,12.1,53.5,6.1
Otto Porter Jr.,TOR,30,80,230,Georgetown,USA,2013,1,3,15,2.6,1.9,0.5,4.7,3.2,13,8.3,56.8,5.8
Jrue Holiday,BOS,33,76,205,UCLA,USA,2009,1,17,42,13.1,6.1,4.6,8.7,4.1,12.7,17.2,57.1,18.7
Jordan Miller,LAC,24,77,194,Miami,USA,2023,2,48,4,1.8,0.8,0,-60.1,11.1,5.3,14.6,70,0
Javonte Smart,PHI,24,76,205,Louisiana State,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-150,0,0,0,0,0
