PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Goga Bitadze,ORL,24,82,250,None,Georgia,2019,1,18,40,6.7,6.2,1.7,4,11.4,19.3,12.5,64.1,11.2
Corey Kispert,WAS,24,78,224,Gonzaga,USA,2021,1,15,44,11.2,2.2,1.5,-11.3,1.4,8.2,19.4,61.4,10.2
Cole Anthony,ORL,23,74,185,North Carolina,USA,2020,1,15,45,12.6,4.2,3.2,0.5,4,13.4,23.6,54.5,20.7
Kobe Brown,LAC,24,79,250,Missouri,USA,2023,1,30,27,2.1,1.4,0.6,-10.3,2.9,12,10.2,47.6,8
Bobby Portis,MIL,28,82,250,Arkansas,USA,2015,1,22,46,12.4,6.7,1,1.8,6.6,21.9,20.6,58.3,5.7
MarJon Beauchamp,MIL,23,79,199,None,USA,2022,1,24,35,4.9,2.4,0.8,1.1,3.8,11.2,13.1,58.2,6.8
Jordan Walsh,BOS,19,78,205,Arkansas,USA,2023,2,38,2,0,2.5,0.5,7.1,0,50,6.3,0,33.3
Danilo Gallinari,DET,35,82,236,None,Italy,2008,1,6,28,7.1,2.9,1.3,-7.2,2.9,16.6,17.6,60.3,12.7
Jalen Pickett,DEN,24,74,202,Penn State,USA,2023,2,32,16,2.1,0.7,0.8,-1,1.1,10.8,16.1,57.1,18.2
Mitchell Robinson,NYK,25,85,240,Western Kentucky,USA,2018,2,36,21,6.2,10.3,0.7,2.9,16.9,17.9,9.3,56.7,3.3
Oshae Brissett,BOS,25,79,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,28,4.3,3.1,0.7,8.8,8.6,15,13.8,56.9,7.5
Dwight Powell,DAL,32,82,240,Stanford,Canada,2014,2,45,39,4.6,3.9,1.7,6.1,11,13.1,9,75.3,13.1
Caleb Houstan,ORL,21,80,205,Michigan,Canada,2022,2,32,36,5,1.7,0.6,-2.5,3.6,7,12.8,57,5.8
Coby White,CHI,23,77,195,North Carolina,USA,2019,1,7,47,18.8,4.7,5,0.4,1.5,11.6,22.1,58.4,20.4
Terance Mann,LAC,27,77,215,Florida State,USA,2019,2,48,38,7.7,3.2,1.8,6,5.1,7.9,13,54.6,9.3
Monte Morris,DET,28,74,183,Iowa State,USA,2017,2,51,3,5.7,1.7,1.7,-7.4,0,13.2,23.7,50.4,27.8
Santi Aldama,MEM,23,85,215,Loyola-Maryland,Spain,2021,1,30,35,10.4,5.6,1.8,-4,4.7,18.1,19.2,53.5,12.3
Gary Payton II,GSW,31,74,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,16,5.4,3,0.8,5.3,5.6,11.5,14.1,52.4,7.2
Marcus Morris Sr.,PHI,34,80,218,Kansas,USA,2011,1,14,34,6.6,2.9,0.7,0.7,3,14.3,15.4,56.6,6.4
Neemias Queta,BOS,24,85,248,Utah State,Portugal,2021,2,39,18,4.6,4.4,0.4,13.1,14.8,19.7,13.4,62.2,4.6
Kendall Brown,IND,20,79,205,Baylor,USA,2022,2,48,4,2,0.5,0.3,-22,9.5,0,16,52.4,10
Ousmane Dieng,OKC,20,81,185,None,France,2022,1,11,22,4.2,1.9,0.9,-1.9,3.4,12.1,15.8,55.2,11
Ryan Rollins,WAS,21,75,180,Toledo,USA,2022,2,44,10,4.1,1.1,1.1,38.8,3.2,11.8,23.2,63.1,20
Robert Williams III,POR,26,81,249,Texas A&M,USA,2018,1,27,6,6.8,6.3,0.8,-13.3,8,22.7,12.2,68.4,6.5
Eugene Omoruyi,WAS,26,78,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,19,4.5,1.5,0.6,11.6,9.6,14.4,27.3,66.2,18
Georges Niang,CLE,30,79,230,Iowa State,USA,2016,2,50,43,9.5,3.8,1.2,1.1,1.6,15,17.2,57.5,7.7
Cole Swider,MIA,24,80,220,Syracuse,USA,Undrafted,Undrafted,Undrafted,9,2.6,0.2,0.3,11.1,2,2.3,22,54.8,10.7
Dante Exum,DAL,28,77,214,None,Australia,2014,1,5,32,9.2,2.8,2.8,8.3,2.8,10.8,16.5,66.3,18.3
Jaxson Hayes,LAL,23,85,220,Texas,USA,2019,1,8,36,2.8,1.7,0.3,-7.7,5.2,11.8,11.8,65.3,5
Jules Bernard,WAS,24,78,210,UCLA,USA,Undrafted,Undrafted,Undrafted,4,0.5,0.3,0.3,-21.1,3.7,0,20,11.1,10
Landry Shamet,WAS,26,76,190,Wichita State,USA,2018,1,26,29,7.8,1.3,1.3,-7.5,1.9,6.7,19.9,58,12.9
Markelle Fultz,ORL,25,76,209,Washington,USA,2017,1,1,14,8.8,2.9,3.6,0.4,4.8,7.3,16.7,51.8,22.5
Theo Maledon,PHX,22,76,175,None,France,2020,2,34,13,4.2,1.8,2.2,-13.2,1.8,9.8,16.8,37.9,17.9
Ausar Thompson,DET,20,78,205,None,USA,2023,1,5,46,8.3,6.6,1.9,-9,8.4,18.8,16.4,51.2,11.6
Sasha Vezenkov,SAC,28,80,225,None,Bulgaria,2017,2,57,33,5.7,2.6,0.4,-1.2,6.9,13.2,17.2,57.6,4.6
Brandin Podziemski,GSW,20,76,205,Santa Clara,USA,2023,1,19,37,9.2,5.4,3.2,3.8,5.9,15.3,15.7,55.1,17.4
Cam Reddish,LAL,24,79,217,Duke,USA,2019,1,10,35,6.7,2.4,1.3,-1.5,2.4,7.8,13.1,51.9,7.2
Brice Sensabaugh,UTA,20,77,235,Ohio State,USA,2023,1,28,4,1.3,0.8,0.5,-22.8,8.3,16.7,19.4,41.7,25
Dexter Dennis,DAL,24,77,210,Texas A&M,USA,Undrafted,Undrafted,Undrafted,4,5.5,2.3,1,-11,2.5,21.1,27.8,54.1,36.4
Trevelin Queen,ORL,26,77,190,New Mexico State,USA,Undrafted,Undrafted,Undrafted,12,3.3,1.5,1.5,3.7,2.2,9.6,13.9,48.4,17.5
Skylar Mays,LAL,26,75,205,Louisiana State,USA,2020,2,50,24,6.1,1.6,3.3,-11.3,2.4,8.5,18.8,47.3,31.2
Jordan McLaughlin,MIN,27,73,185,Southern California,USA,Undrafted,Undrafted,Undrafted,25,2.3,1,1.7,1.9,3.4,7.3,12.8,48.6,27
Bones Hyland,LAC,23,74,169,Virginia Commonwealth,USA,2021,1,26,18,6.4,0.9,1.8,-5.8,0.8,5.5,24.3,47.8,20.5
Daishen Nix,MIN,21,75,226,None,USA,Undrafted,Undrafted,Undrafted,6,1.3,0.2,0,25.6,0,4.5,17.3,45,0
Ben Simmons,BKN,27,82,240,Louisiana State,Australia,2016,1,1,6,6.5,10.8,6.7,-7.1,8.1,23.9,11.8,51.6,26
Lindy Waters III,OKC,26,78,210,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,17,2.9,0.8,0.6,4.2,0.8,9.7,14.6,61.3,11.6
Ayo Dosunmu,CHI,24,77,200,Illinois,USA,2021,2,38,45,9,2.5,2.1,-2.9,2.7,7.9,15.6,58,12.5
Chimezie Metu,PHX,26,82,225,Southern California,USA,2018,2,49,35,5.2,3.1,0.5,-5.1,5.8,18.8,16.7,62.4,6
CJ McCollum,NOP,32,75,190,Lehigh,USA,2013,1,10,32,19.2,4.3,4.9,3.7,2,11.7,23.1,60.5,22.2
Kenrich Williams,OKC,29,78,210,TCU,USA,Undrafted,Undrafted,Undrafted,35,4.6,2.9,1.3,10.6,5.2,13.6,12.8,57,11.8
Devonte' Graham,SAS,28,73,195,Kansas,USA,2018,2,34,10,3.5,1.3,1.9,12.3,2.2,13.8,15.7,55.5,26
Christian Braun,DEN,22,78,220,Kansas,USA,2022,1,21,47,7.2,3.5,1.5,-4,3.6,13.6,16.3,54.1,11
Aaron Nesmith,IND,24,78,215,Vanderbilt,USA,2020,1,14,42,12.1,3.7,1.3,2.5,3.6,10.5,15.9,65.3,6.1
D'Angelo Russell,LAL,27,75,193,Ohio State,USA,2015,1,2,43,17.1,2.7,6.1,2.7,1.2,7.1,22.2,60,27.6
Zach Collins,SAS,26,83,250,Gonzaga,USA,2017,1,10,36,12.2,5.7,3.2,-12.3,7.1,14.8,21.4,56.5,18.6
Christian Wood,LAL,28,80,214,UNLV,USA,Undrafted,Undrafted,Undrafted,41,7.2,5.4,1.1,-0.2,4.7,23,17,58.5,8.3
Karl-Anthony Towns,MIN,28,85,248,Kentucky,USA,2015,1,1,45,22.6,8.7,3,6.3,4.7,21.7,26.8,63.8,14.4
DaQuan Jeffries,NYK,26,77,222,Tulsa,USA,Undrafted,Undrafted,Undrafted,10,1.1,0.5,0.2,-14.3,0,13.9,19.7,42.7,11.8
Jalen McDaniels,TOR,25,81,190,San Diego State,USA,2019,2,52,28,2.9,1.2,0.5,-7.8,2.6,10.1,17.6,41.5,8.6
Sam Merrill,CLE,27,76,205,Utah State,USA,2020,2,60,28,8.8,2.1,1.6,6.8,2.9,9.4,18.7,62.4,14.2
Jontay Porter,TOR,24,82,240,Missouri,USA,Undrafted,Undrafted,Undrafted,13,5.1,3.6,2.2,-8.3,7.3,16.8,16.2,49.8,19
Alex Len,SAC,30,85,250,Maryland,Ukraine,2013,1,5,17,2.4,3.3,1.1,21.6,14.7,22.1,12,59.9,15.3
Lonnie Walker IV,BKN,25,76,204,Miami,USA,2018,1,18,27,11.6,2.1,1.3,3.2,1,10.3,24.1,61.2,10.6
Luka Doncic,DAL,24,79,230,None,Slovenia,2018,1,3,39,34.4,8.6,9.4,0.9,2.1,20.6,35.8,61.4,42.6
Chris Livingston,MIL,20,78,220,Kentucky,USA,2023,2,58,13,1.3,1,0.3,0.5,4.3,19.3,12.4,61.2,7.7
Kyle Lowry,CHA,37,73,196,Villanova,USA,2006,1,24,37,8.2,3.5,4,0.1,2.5,10.6,13,58.2,19.9
Anfernee Simons,POR,24,75,193,None,USA,2018,1,24,24,23.2,3.6,5.2,-15,1.4,9.7,27.9,57.2,27
Precious Achiuwa,NYK,24,80,243,Memphis,Nigeria,2020,1,20,39,6.4,5.4,1.4,-0.9,11.6,18.9,17.9,51.4,12.1
Dmytro Skapintsev,NYK,25,85,215,,Ukraine,Undrafted,Undrafted,Undrafted,2,0,0,0,15,0,0,25,0,0
Herbert Jones,NOP,25,79,206,Alabama,USA,2021,2,35,43,11,3.6,2.4,3.2,3.9,8.6,15,61.7,11.2
Ibou Badji,POR,21,85,240,None,Senegal,Undrafted,Undrafted,Undrafted,12,1.8,3.7,0.7,-17.5,9.5,16.3,6.9,59.5,7.3
Jeremy Sochan,SAS,20,80,230,Baylor,Poland,2022,1,9,46,11.7,5.8,3.9,-8.6,5.5,13.9,18.5,52.9,18.7
Jalen Williams,OKC,22,77,211,Santa Clara,USA,2022,1,12,43,18.6,4.1,4.5,9.5,1.8,10.2,22,62.4,19.2
Moussa Diabate,LAC,22,81,210,Michigan,France,2022,2,43,10,2.7,2,0.4,-4.7,23,9.7,17.6,58,10
Klay Thompson,GSW,33,78,220,Washington State,USA,2011,1,11,42,17.6,3.4,2.4,-2.9,1.7,9.2,22.8,56.8,11.1
Tre Jones,SAS,24,73,185,Duke,USA,2020,2,41,41,9.5,3.1,5.6,-1.7,2.8,8.9,15.4,58.8,29
Josh Okogie,PHX,25,76,213,Georgia Tech,Nigeria,2018,1,20,40,4.9,2.8,1.3,2.8,7,8.2,12.2,51.7,9.6
Rui Hachimura,LAL,25,80,230,Gonzaga,Japan,2019,1,9,33,11.1,3.5,1.1,3.9,3.5,11.1,18.9,58.2,6.7
Filip Petrusev,SAC,23,83,225,Gonzaga,Serbia,2021,2,50,3,1,0.3,0,30,0,8.3,15,52.1,0
Braxton Key,DEN,26,80,225,Virginia,USA,Undrafted,Undrafted,Undrafted,13,1.2,0.8,0.6,-6.3,4.7,19.5,16.8,46.3,25.8
Jared Butler,WAS,23,75,193,Baylor,USA,2021,2,40,17,4.6,0.6,1.8,-2.4,0,8.4,21.2,68.9,37.8
Haywood Highsmith,MIA,27,77,220,Wheeling Jesuit,USA,2018,,,32,6.2,3,1.3,-1,4.1,10.2,12.3,57.5,8.2
OG Anunoby,NYK,26,79,240,Indiana,United Kingdom,2017,1,23,41,15.3,4.2,2.3,9.8,2.8,9.1,17.3,60.9,8.9
Kevin Durant,PHX,35,83,240,Texas,USA,2007,1,2,39,28.5,6.4,5.7,3.3,1.4,15,28.7,64.3,24.4
Miles McBride,NYK,23,73,195,West Virginia,USA,2021,2,36,33,4.8,0.7,0.9,-3,1.1,5.8,18.1,61.9,15.9
Matisse Thybulle,POR,26,77,201,Washington,USA,2019,1,20,44,5.7,2,1.2,-7.7,1.8,7,9.9,58.7,7
Josh Hart,NYK,28,76,215,Villanova,USA,2017,1,30,45,7.3,6.5,2.7,8.8,4.2,18.3,11.8,53.3,12.7
Mike Muscala,DET,32,82,240,Bucknell,USA,2013,2,44,30,4,3.1,1,-11.6,6.2,15,13.8,50.1,9.3
Aaron Holiday,HOU,27,73,185,UCLA,USA,2018,1,23,43,6.7,1.9,1.7,3.9,1.4,9,15.2,59.1,14.3
E.J. Liddell,NOP,23,78,240,Ohio State,USA,2022,2,41,8,0.5,0.6,0.1,-11.7,0,21.7,14.8,29.1,6.7
Jarred Vanderbilt,LAL,24,80,214,Kentucky,USA,2018,2,41,26,4.8,4.9,1.2,4.5,7.3,16.7,10.7,54.8,7.2
Shake Milton,MIN,27,77,205,Southern Methodist,USA,2018,2,54,36,4.8,1.4,1.4,-3.5,1.4,8.3,17.2,50.2,15
Amen Thompson,HOU,20,79,200,None,USA,2023,1,4,26,6.5,4.2,2.2,-0.4,5.5,19,17.3,53.5,18.3
Jalen Slawson,SAC,24,79,215,Furman,USA,2023,2,54,5,0.8,0.8,0.4,-36.8,0,20,11.6,66.7,16.7
Marcus Sasser,DET,23,74,195,Houston,USA,2023,1,25,41,7.2,1.6,2.7,-6.5,0.9,9,18.8,58.4,25.3
Julius Randle,NYK,29,80,250,Kentucky,USA,2014,1,7,46,24,9.2,5,6,5.9,19.8,28.7,56.9,21.7
Scoot Henderson,POR,19,75,202,None,USA,2023,1,3,37,12,3,4.6,-11.5,2.9,8.4,25.1,46,27.1
Jusuf Nurkic,PHX,29,85,290,None,Bosnia and Herzegovina,2014,1,16,43,11.6,10.3,3.6,9.3,10.3,26.8,19.2,56.2,17
Darius Garland,CLE,24,73,192,Vanderbilt,USA,2019,1,5,20,20.7,2.8,5.9,4.1,1.8,6.1,27.1,57.3,26.5
Bruno Fernando,ATL,25,81,240,Maryland,Angola,2019,2,34,13,2.9,2,0.3,7.6,8.5,22.9,20.6,53.7,6.5
Jabari Walker,POR,21,79,227,Colorado,USA,2022,2,57,42,8.5,6.2,0.9,-6.7,8.1,21.6,16.2,56.6,5.9
Caleb Martin,MIA,28,77,205,Nevada,USA,Undrafted,Undrafted,Undrafted,29,10.4,4.7,2.2,-2.3,4.5,14.1,17.9,54.1,12.1
Mark Williams,CHA,22,85,240,Duke,USA,2022,1,15,19,12.7,9.7,1.2,-1.2,14.3,20.9,16.2,67.5,5.9
Tobias Harris,PHI,31,80,226,Tennessee,USA,2011,1,19,41,17.7,6,3.2,10.9,3,14.1,19.8,60.6,13.2
