C,DB,DE,DT,K,LB,LS,OG,OT,P,QB,RB,TE,WR
,202,,,,,,,,,,,,
,205,,,,,,,,,,,,
,203,,,,,,,,,,,,
,202,,,,,,,,,,,,
,190,,,,,,,,,,,,
,196,,,,,,,,,,,,
,190,,,,,,,,,,,,
,207,,,,,,,,,,,,
,195,,,,,,,,,,,,
,201,,,,,,,,,,,,
,193,,,,,,,,,,,,
,195,,,,,,,,,,,,
,189,,,,,,,,,,,,
,194,,,,,,,,,,,,
,190,,,,,,,,,,,,
,192,,,,,,,,,,,,
,184,,,,,,,,,,,,
,197,,,,,,,,,,,,
,195,,,,,,,,,,,,
,190,,,,,,,,,,,,
,198,,,,,,,,,,,,
,180,,,,,,,,,,,,
,205,,,,,,,,,,,,
,201,,,,,,,,,,,,
,206,,,,,,,,,,,,
,190,,,,,,,,,,,,
,187,,,,,,,,,,,,
,195,,,,,,,,,,,,
,191,,,,,,,,,,,,
,177,,,,,,,,,,,,
,204,,,,,,,,,,,,
,190,,,,,,,,,,,,
,179,,,,,,,,,,,,
,208,,,,,,,,,,,,
,180,,,,,,,,,,,,
,173,,,,,,,,,,,,
,192,,,,,,,,,,,,
,195,,,,,,,,,,,,
,185,,,,,,,,,,,,
,193,,,,,,,,,,,,
,188,,,,,,,,,,,,
,220,,,,,,,,,,,,
,190,,,,,,,,,,,,
,195,,,,,,,,,,,,
,193,,,,,,,,,,,,
,188,,,,,,,,,,,,
,196,,,,,,,,,,,,
,190,,,,,,,,,,,,
,185,,,,,,,,,,,,
,210,,,,,,,,,,,,
,187,,,,,,,,,,,,
,205,,,,,,,,,,,,
,192,,,,,,,,,,,,
,196,,,,,,,,,,,,
