title,genre,language,imdb_score,premiere,runtime,year
The Babysitter: Killer Queen,Comedy/Horror,English,5.8,2020-09-10,102,2020
iBoy,Science fiction/Thriller,English,6.0,2017-01-27,90,2017
I Am Not an Easy Man,Romantic comedy,French,6.3,2018-04-13,98,2018
Ride or Die,Psychological thriller drama,Japanese,5.5,2021-04-15,142,2021
The Angel,Spy thriller,English,6.6,2018-09-14,114,2018
Get the Grift,Comedy,Portuguese,5.5,2021-04-28,94,2021
Concrete Cowboy,Drama,English,6.3,2021-04-02,111,2021
Porta dos Fundos: The Last Hangover,Comedy,Portuguese,6.3,2018-12-21,44,2018
Tig,Documentary,English,7.4,2015-07-17,80,2015
The Midnight Sky,Science fiction,English,5.6,2020-12-23,118,2020
Ultras,Sports film,Italian,5.9,2020-03-20,108,2020
Tony Robbins: I Am Not Your Guru,Documentary,English,6.7,2016-07-15,116,2016
June & Kopi,Drama,Indonesian,6.3,2021-01-28,90,2021
We Are One,Documentary,French,4.6,2020-07-14,86,2020
Monster,Drama,English,6.5,2021-05-07,98,2021
Grass Is Greener,Documentary,English,7.1,2019-04-20,97,2019
Hubie Halloween,Comedy,English,5.2,2020-10-07,103,2020
Little Evil,Comedy horror,English,5.7,2017-09-01,94,2017
Ferry,Crime drama,Dutch,7.1,2021-05-14,106,2021
Desperados,Romantic comedy,English,5.2,2020-07-03,106,2020
Holidate,Romantic comedy/Holiday,English,6.1,2020-10-28,104,2020
Lust Stories,Drama,Hindi,6.5,2018-06-15,120,2018
Under the Riccione Sun,Romantic teenage drama,Italian,5.4,2020-07-01,101,2020
Burning Sands,Drama,English,6.1,2017-03-10,102,2017
Dead Kids,Thriller,Filipino,5.5,2019-12-01,94,2019
Spenser Confidential,Action comedy,English,6.2,2020-03-06,111,2020
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,Spanish/English,7.3,2020-07-08,96,2020
Tallulah,Comedy-drama,English,6.7,2016-07-29,111,2016
Step Sisters,Comedy,English,5.5,2018-01-19,108,2018
The Most Assassinated Woman in the World,Thriller,French,5.3,2018-09-07,102,2018
Serious Men,Drama,Hindi,6.8,2020-10-02,114,2020
All Together Now,Drama,English,6.5,2020-08-28,93,2020
Win It All,Comedy,English,6.2,2017-04-07,88,2017
Offering to the Storm,Thriller,Spanish,6.2,2020-07-24,139,2020
"Hello Privilege. It's Me, Chelsea",Documentary,English,4.4,2019-09-13,64,2019
The Claudia Kishi Club,Documentary,English,6.9,2020-07-10,17,2020
The White Helmets,Documentary,English,7.5,2016-09-16,40,2016
The Do-Over,Action comedy,English,5.7,2016-05-27,108,2016
The Old Guard,Superhero/Action,English,6.7,2020-07-10,124,2020
Tigertail,Drama,English/Taiwanese/Mandarin,6.5,2020-04-10,91,2020
Recovery Boys,Documentary,English,6.6,2018-06-29,89,2018
Rajma Chawal,Comedy-drama,Hindi,5.8,2018-11-30,118,2018
The Kissing Booth,Romantic comedy,English,6.0,2018-05-11,105,2018
The Trader,Documentary,Georgian,6.8,2018-02-09,23,2018
Benji,Family film,English,6.3,2018-03-16,87,2018
2024-08-15 00:00:00,Comedy-drama,Marathi,5.8,2019-03-29,124,2019
Chadwick Boseman: Portrait of an Artist,Documentary,English,6.5,2021-04-17,21,2021
Kingdom of Us,Documentary,English,7.0,2017-10-13,109,2017
Audrie & Daisy,Documentary,English,7.2,2016-09-23,98,2016
5 Star Christmas,Comedy,Italian,4.6,2018-12-07,95,2018
Father Soldier Son,Documentary,English,7.3,2020-07-17,100,2020
The Occupant,Thriller,Spanish,6.4,2020-03-25,103,2020
Gunjan Saxena: The Kargil Girl,Drama,Hindi,5.3,2020-08-12,112,2020
See You Yesterday,Science fiction,English,5.2,2019-05-17,87,2019
Pee-wee's Big Holiday,Adventure,English,6.1,2016-03-18,89,2016
Anelka: Misunderstood,Documentary,French,6.4,2020-08-05,94,2020
Oxygen,Science fiction thriller,French,6.5,2021-05-12,101,2021
Tony Parker: The Final Shot,Documentary,French,6.8,2021-01-06,98,2021
His House,Thriller,English,6.5,2020-10-30,93,2020
13th,Documentary,English,8.2,2016-10-07,100,2016
Ladies First,Documentary,English/Hindi,7.2,2018-03-08,39,2018
Calibre,Thriller,English,6.8,2018-06-29,101,2018
Lost Girls,Crime drama,English,6.1,2020-03-13,95,2020
Brahman Naman,Comedy,English,5.6,2016-07-07,95,2016
Girlfriend's Day,Comedy,English,5.2,2017-02-14,70,2017
Anima,Musical / Short,English,7.7,2019-06-27,15,2019
The Irishman,Crime drama,English,7.8,2019-11-27,209,2019
Dolly Parton: A MusiCares Tribute,Documentary,English,6.5,2021-04-07,55,2021
IO,Science fiction/Drama,English,4.7,2019-01-18,95,2019
After Maria,Documentary,English/Spanish,4.6,2019-05-24,37,2019
Amanda Knox,Documentary,English,6.9,2016-09-30,92,2016
Dad Wanted,Family,Spanish,5.7,2020-09-11,102,2020
To All the Boys: P.S. I Still Love You,Romantic comedy,English,6.0,2020-02-12,102,2020
Naked,Comedy,English,5.4,2017-08-11,96,2017
Guilty,Thriller,Hindi,5.4,2020-03-06,119,2020
To All the Boys I've Loved Before,Romantic comedy,English,7.1,2018-08-17,99,2018
Tribhanga ? Tedhi Medhi Crazy,Drama,Hindi,6.1,2021-01-15,95,2021
Team Foxcatcher,Documentary,English/Russian,7.3,2016-04-29,90,2016
The Players,Comedy,Italian,4.6,2020-07-15,88,2020
Take Your Pills,Documentary,English,6.4,2018-03-16,87,2018
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,English,7.1,2017-01-26,36,2017
Wheelman,Action thriller,English,6.4,2017-10-20,82,2017
Resurface,Documentary,English,7.0,2017-09-01,27,2017
Dangerous Lies,Thriller,English,5.3,2020-04-30,97,2020
A Life of Speed: The Juan Manuel Fangio Story,Documentary,Spanish,6.8,2020-03-20,92,2020
One of Us,Documentary,English,7.1,2017-10-20,95,2017
A Tale of Two Kitchens,Documentary,English/Spanish,6.3,2019-05-22,30,2019
Over the Moon,Animation/Musical/Adventure,English,6.4,2020-10-23,95,2020
Raat Akeli Hai,Thriller,Hindi,7.3,2020-07-31,149,2020
Two Catalonias,Documentary,Spanish/Catalan,6.4,2018-09-28,116,2018
Keith Richards: Under the Influence,Documentary,English,7.1,2015-09-18,81,2015
ReMastered: Who Shot the Sheriff?,Documentary,English,6.9,2018-10-12,57,2018
Like Father,Comedy,English,6.1,2018-08-03,103,2018
ReMastered: The Two Killings of Sam Cooke,Documentary,English,7.3,2019-02-08,64,2019
Winter on Fire: Ukraine's Fight for Freedom,Documentary,English/Ukranian/Russian,8.4,2015-10-09,91,2015
Hold the Dark,Thriller,English,5.6,2018-09-28,125,2018
Below Zero,Drama,Spanish,6.2,2021-01-29,106,2021
Sierra Burgess Is a Loser,Romantic comedy-drama,English,5.8,2018-09-07,105,2018
Casting JonBenet,Documentary,English,6.1,2017-04-28,80,2017
The Half of It,Romance,English,6.9,2020-05-01,105,2020
Sometimes,Drama,Tamil,7.2,2018-05-01,101,2018
Just Another Christmas,Comedy,Portuguese,6.7,2020-12-03,101,2020
Otherhood,Comedy,English,6.1,2019-08-02,100,2019
Octonauts & the Caves of Sac Actun,Animation,English,6.2,2020-08-14,72,2020
CounterPunch ,Documentary,English,6.7,2017-06-16,91,2017
Octonauts & the Great Barrier Reef,Animation,English,7.3,2020-10-13,47,2020
The Claus Family,Fantasy,Dutch,5.8,2020-12-07,96,2020
Moxie,Drama,English,6.7,2021-03-03,111,2021
The Woman in the Window,Psychological thriller,English,5.7,2021-05-14,100,2021
The Last Thing He Wanted,Political thriller,English,4.3,2020-02-21,115,2020
The Fundamentals of Caring,Comedy-drama,English,7.3,2016-06-24,97,2016
We Can Be Heroes,Superhero,English,4.7,2020-12-25,100,2020
Bird Box,Psychological thriller,English,6.6,2018-12-21,124,2018
Love per Square Foot,Romantic comedy,Hindi,7.2,2018-02-14,133,2018
Nappily Ever After,Comedy-drama,English,6.4,2018-09-21,98,2018
The Dirt,Biopic,English,7.0,2019-03-22,108,2019
All in My Family,Documentary,English/Mandarin,6.8,2019-05-03,39,2019
Cadaver,Horror,Norwegian,5.1,2020-10-22,86,2020
Murder Mystery,Comedy mystery,English,6.0,2019-06-14,97,2019
Class of '83,Drama,Hindi,5.8,2020-08-21,98,2020
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,English,5.5,2018-07-06,83,2018
XOXO,Drama,English,5.3,2016-08-26,92,2016
Whipped,Romantic comedy,Indonesian,4.1,2020-09-18,97,2020
Velvet Buzzsaw,Thriller,English,5.7,2019-02-01,112,2019
The Death and Life of Marsha P. Johnson,Documentary,English,7.3,2017-10-06,105,2017
Alien Xmas,Stop Motion,English,6.2,2020-11-20,42,2020
Kaali Khuhi,Mystery,Hindi,3.4,2020-10-30,90,2020
Hillbilly Elegy,Drama,English,6.7,2020-11-24,117,2020
Little Miss Sumo,Documentary,Japanese,6.7,2019-10-28,19,2019
Leyla Everlasting,Comedy,Turkish,3.7,2020-12-04,112,2020
Isi & Ossi,Romantic comedy,German,6.4,2020-02-14,113,2020
Love Wedding Repeat,Romantic comedy,English,5.5,2020-04-10,100,2020
Heroin(e) ,Documentary,English,6.8,2017-09-12,39,2017
Long Live Brij Mohan,Comedy,Hindi,6.8,2018-08-03,105,2018
Shawn Mendes: Live in Concert,Concert Film,English,7.4,2020-11-25,87,2020
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,English,6.5,2020-06-26,123,2020
Who Would You Take to a Deserted Island?,Drama,Spanish,5.3,2019-04-12,93,2019
Wine Country,Comedy,English,5.5,2019-05-10,103,2019
Let It Snow,Romantic comedy,English,5.8,2019-11-08,92,2019
To the Bone,Drama,English,6.8,2017-07-14,107,2017
Gerald's Game,Horror thriller,English,6.5,2017-09-29,103,2017
It Takes a Lunatic,Documentary,English,6.6,2019-10-25,126,2019
Laerte-se,Documentary,Portuguese,6.9,2017-05-19,100,2017
Guillermo Vilas: Settling the Score,Documentary,Spanish,7.1,2020-10-27,94,2020
Secrets of the Saqqara Tomb,Documentary,English/Arabic,7.3,2020-10-28,114,2020
Things Heard & Seen,Horror,English,5.3,2021-04-29,121,2021
ARQ,Science fiction/Thriller,English,6.4,2016-09-16,88,2016
Outlaw King,Historical-epic,English,6.9,2018-11-09,121,2018
Emicida: AmarElo - It's All For Yesterday,Documentary,Portuguese,8.6,2020-12-08,89,2020
Athlete A,Documentary,English,7.6,2020-06-24,104,2020
Marriage Story,Drama,English,7.9,2019-12-06,136,2019
Dolly Parton's Christmas on the Square,Christmas musical,English,5.2,2020-11-22,98,2020
The Package,Black comedy,English,5.5,2018-08-10,94,2018
Unknown Origins,Thriller,Spanish,6.1,2020-08-28,96,2020
Roma,Drama,Spanish,7.7,2018-12-14,135,2018
"Love, Guaranteed",Romantic comedy,English,5.6,2020-09-03,91,2020
Rich in Love,Romantic comedy,Portuguese,5.8,2020-04-30,105,2020
Bigflo & Oil: Hip Hop Frenzy,Documentary,French,6.9,2020-10-08,100,2020
Private Life,Drama,English,7.2,2018-10-05,124,2018
The Most Hated Woman in America,Biopic,English,6.1,2017-03-24,92,2017
Beats,Drama,English,7.1,2019-06-19,110,2019
Shirkers,Documentary,English,7.4,2018-10-26,97,2018
Drive,Action,Hindi,3.5,2019-11-01,147,2019
City of Joy,Documentary,English,7.5,2018-09-07,74,2018
Blue Miracle,Drama,English,6.7,2021-05-27,95,2021
David Attenborough: A Life on Our Planet,Documentary,English,9.0,2020-10-04,83,2020
The Other Side of the Wind,Drama,English,6.8,2018-11-02,122,2018
One-Way to Tomorrow,Romance,Turkish,5.6,2020-06-19,90,2020
The App,Science fiction/Drama,Italian,2.6,2019-12-26,79,2019
Derren Brown: Sacrifice,Mentalism special,English,7.1,2018-10-19,49,2018
The Night Comes for Us,Action-thriller,Indonesian,7.0,2018-10-19,121,2018
John Mulaney & the Sack Lunch Bunch,Variety show,English,7.5,2019-12-24,70,2019
The Bleeding Edge,Documentary,English,7.6,2018-07-27,100,2018
Triple Frontier,Action-thriller,English,6.4,2019-03-13,125,2019
Into the Inferno,Documentary,English,7.2,2016-10-28,107,2016
Walk. Ride. Rodeo.,Drama,English,6.4,2019-03-08,99,2019
The Willoughbys,Animation/Comedy/Adventure,English,6.4,2020-04-22,90,2020
Mrs. Serial Killer,Thriller,Hindi,4.8,2020-05-01,106,2020
Lost Bullet,Thriller,French,6.2,2020-06-19,92,2020
Despite Everything,Comedy,Spanish,5.4,2019-05-03,78,2019
Reversing Roe,Documentary,English,7.5,2018-09-13,99,2018
The Cloverfield Paradox,Science fiction,English,5.5,2018-02-04,102,2018
Spelling the Dream,Documentary,English,6.9,2020-06-03,83,2020
Mascots,Mockumentary,English,5.8,2016-10-13,95,2016
The Open House,Horror thriller,English,3.2,2018-01-19,94,2018
Rocko's Modern Life: Static Cling,Animation / Comedy,English,7.0,2019-08-09,45,2019
Rogue City,Crime drama,French,6.1,2020-10-30,116,2020
Feel the Beat,Family/Comedy-drama,English,6.3,2020-06-19,107,2020
Dolemite Is My Name,Biopic,English,7.3,2019-10-25,118,2019
Set It Up,Romantic comedy,English,6.5,2018-06-15,105,2018
True Memoirs of an International Assassin,Action comedy,English,5.9,2016-11-11,98,2016
Rising High,Satire,German,5.8,2020-04-17,94,2020
Paper Lives,Drama,Turkish,6.7,2021-03-12,97,2021
The Heartbreak Club,Comedy-drama,Indonesian,6.4,2021-01-14,101,2021
Special Correspondents,Satire,English,5.8,2016-04-29,100,2016
Nail Bomber: Manhunt,Documentary,English,6.3,2021-05-26,72,2021
Get Me Roger Stone,Documentary,English,7.3,2017-05-12,101,2017
"Ram Dass, Going Home",Documentary,English,7.1,2018-04-06,31,2018
Crip Camp: A Disability Revolution,Documentary,English,7.7,2020-03-25,108,2020
The Holiday Calendar,Romantic comedy,English,5.7,2018-11-02,95,2018
On My Skin,Crime drama,Italian,7.3,2018-09-12,100,2018
Layla Majnun,Romantic drama,Indonesian,6.4,2021-02-11,119,2021
After the Raid,Documentary,Spanish,4.3,2019-12-19,25,2019
Dick Johnson Is Dead,Documentary,English,7.5,2020-10-02,90,2020
LA Originals,Documentary,English,7.2,2020-04-10,92,2020
Work It,Dance comedy,English,6.1,2020-08-07,93,2020
The Misadventures of Hedi and Cokeman,Comedy,French,4.5,2021-02-10,99,2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,English,6.7,2017-02-07,54,2017
The Ballad of Buster Scruggs,Western,English,7.3,2018-11-16,132,2018
Intuition,Thriller,Spanish,5.3,2020-05-28,116,2020
The Ivory Game,Documentary,English,7.9,2016-11-04,112,2016
Dancing with the Birds,Documentary,English,8.3,2019-10-23,51,2019
Bad Trip,Hidden-camera prank comedy,English,6.6,2021-03-26,86,2021
Fire in Paradise,Documentary,English,7.4,2019-11-01,39,2019
A Fall from Grace,Thriller,English,5.9,2020-01-17,120,2020
Ludo,Anthology/Dark comedy,Hindi,7.6,2020-11-12,149,2020
Crazy Awesome Teachers,Comedy-drama,Indonesian,6.2,2020-08-17,101,2020
Back to School,Comedy,French,5.3,2019-08-30,83,2019
Angela's Christmas Wish,Animation,English,7.1,2020-12-01,47,2020
Madame Claude,Drama,French,5.4,2021-04-02,112,2021
Soni,Crime drama,Hindi,7.2,2019-01-18,97,2019
Saving Capitalism,Documentary,English,6.8,2017-11-21,73,2017
Road to Roma,Making-of,Spanish,7.7,2020-02-11,72,2020
The Perfect Date,Romantic comedy,English,5.8,2019-04-12,89,2019
Upstarts,Drama,Hindi,6.7,2019-10-18,112,2019
Nobody Sleeps in the Woods Tonight,Horror,Polish,4.8,2020-10-28,103,2020
The Boys in the Band,Drama,English,6.8,2020-09-30,121,2020
The Princess Switch: Switched Again,Romantic comedy,English,5.4,2020-11-19,97,2020
All the Bright Places,Romance,English,6.5,2020-02-28,108,2020
Fearless,Animation/Superhero,English,4.9,2020-08-14,89,2020
Small Crimes,Dark comedy,English,5.8,2017-04-28,95,2017
Sitara: Let Girls Dream,Animation / Short,English,7.3,2020-03-08,15,2020
Loudon Wainwright III: Surviving Twin,One-man show,English,7.1,2018-11-13,91,2018
Rebirth,Thriller,English,5.0,2016-07-15,100,2016
Geez & Ann,Romantic drama,Indonesian,5.1,2021-02-25,105,2021
The Two Popes,Drama,English,7.6,2019-12-20,125,2019
Double Dad,Comedy-drama,Portuguese,5.6,2021-01-15,103,2021
Como Caído del Cielo,Musical comedy,Spanish,6.4,2019-12-24,112,2019
Sandy Wexler,Comedy,English,5.2,2017-04-14,131,2017
Operation Varsity Blues: The College Admissions Scandal,Documentary,English,7.0,2021-03-17,99,2021
Life Overtakes Me,Documentary,English/Swedish,6.5,2019-06-14,40,2019
The Discovery,Science fiction/Drama,English,6.3,2017-03-31,102,2017
Cops and Robbers,Animation / Short,English,6.9,2020-12-28,7,2020
My Octopus Teacher,Documentary,English,8.1,2020-09-07,85,2020
The Speed Cubers,Documentary,English,7.4,2020-07-29,40,2020
ReMastered: The Miami Showband Massacre,Documentary,English,7.0,2019-03-22,70,2019
The Devil All the Time,Psychological thriller,English,7.1,2020-09-16,138,2020
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,English,7.5,2017-11-22,108,2017
I Am the Pretty Thing That Lives in the House,Horror,English,4.6,2016-10-28,89,2016
Seaspiracy,Documentary,English,8.2,2021-03-24,89,2021
Extraction,Action,English,6.7,2020-04-24,117,2020
The Highwaymen,Crime drama,English,6.9,2019-03-29,131,2019
Rooting for Roona,Documentary,Bengali,7.1,2020-10-15,41,2020
ReMastered: Massacre at the Stadium,Documentary,English/Spanish,7.3,2019-01-11,64,2019
Spectral,Science fiction/Action,English,6.3,2016-12-09,108,2016
Juanita,Drama,English,6.0,2019-03-08,90,2019
"Crack: Cocaine, Corruption & Conspiracy",Documentary,English,6.7,2021-01-11,89,2021
The Land of Steady Habits,Drama,English,6.2,2018-09-14,98,2018
Searching for Sheela,Documentary,English,4.1,2021-04-22,58,2021
Pagglait,Comedy-drama,Hindi,6.9,2021-03-26,114,2021
Becoming,Documentary,English,6.8,2020-05-06,89,2020
Arlo the Alligator Boy,Animated musical comedy,English,6.7,2021-04-16,92,2021
Roxanne Roxanne,Biopic,English,6.2,2018-03-23,98,2018
Choked: Paisa Bolta Hai,Drama,Hindi,5.8,2020-06-05,114,2020
Just Say Yes,Romantic comedy,Dutch,4.5,2021-04-02,97,2021
The Day of the Lord,Drama,Spanish,4.9,2020-10-30,93,2020
Milestone,Drama,Hindi,6.6,2021-05-07,98,2021
Sardar Ka Grandson,Comedy,Hindi,4.1,2021-05-18,139,2021
The After Party,Comedy,English,5.8,2018-08-24,89,2018
Gaga: Five Foot Two,Documentary,English,7.0,2017-09-22,100,2017
Disclosure: Trans Lives on Screen,Documentary,English,8.2,2020-06-19,107,2020
A Love Song for Latasha,Documentary,English,6.8,2020-09-21,19,2020
Struggle: The Life and Lost Art of Szukaiski,Documentary,English,8.0,2018-12-21,105,2018
1922,Horror/Crime drama,English,6.3,2017-10-20,102,2017
2024-07-22 00:00:00,Drama,English,6.8,2018-10-10,144,2018
Hot Girls Wanted,Documentary,English,6.1,2015-05-29,84,2015
Klaus,Animation/Christmas/Comedy/Adventure,English,8.2,2019-11-15,97,2019
The Boys in the Band: Something Personal,Aftershow / Interview,English,6.8,2020-09-30,28,2020
