ID,Name,Sex,Age,Height,Weight,Team,NOC,Year,City,Sport,Event
7620,Olga Vladimirovna Barabanshchikova,F,20.0,176.0,60.0,Belarus,BLR,2000,Sydney,Tennis,Tennis Women's Singles
7620,Olga Vladimirovna Barabanshchikova,F,20.0,176.0,60.0,Belarus,BLR,2000,Sydney,Tennis,Tennis Women's Doubles
7631,Mariano Joaqun Baracetti,M,26.0,194.0,92.0,Argentina-2,ARG,2000,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
7631,Mariano Joaqun Baracetti,M,30.0,194.0,92.0,Argentina,ARG,2004,Athina,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
7631,Mariano Joaqun Baracetti,M,34.0,194.0,92.0,Argentina,ARG,2008,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
7643,Jorge Alejandro Barajas Gonzlez,M,25.0,188.0,80.0,Mexico,MEX,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball
7669,Sergey Andreyevich Baranov,M,23.0,208.0,94.0,Russia,RUS,2004,Athina,Volleyball,Volleyball Men's Volleyball
7682,Anna Baraska (-Werbliska),F,24.0,178.0,66.0,Poland,POL,2008,Beijing,Volleyball,Volleyball Women's Volleyball
7692,Violet Awidi Barasa,F,25.0,178.0,66.0,Kenya,KEN,2000,Sydney,Volleyball,Volleyball Women's Volleyball
7692,Violet Awidi Barasa,F,29.0,178.0,66.0,Kenya,KEN,2004,Athina,Volleyball,Volleyball Women's Volleyball
7708,Jenny Barazza,F,23.0,188.0,77.0,Italy,ITA,2004,Athina,Volleyball,Volleyball Women's Volleyball
7708,Jenny Barazza,F,27.0,188.0,77.0,Italy,ITA,2008,Beijing,Volleyball,Volleyball Women's Volleyball
7708,Jenny Barazza,F,31.0,188.0,77.0,Italy,ITA,2012,London,Volleyball,Volleyball Women's Volleyball
7716,Brbara Seixas de Freitas,F,29.0,178.0,67.0,Brazil-1,BRA,2016,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
7786,Philippe Barca-Cysique,M,27.0,194.0,88.0,France,FRA,2004,Athina,Volleyball,Volleyball Men's Volleyball
7820,Gyngyi Bardi-Gerevich,F,18.0,172.0,61.0,Hungary,HUN,1976,Montreal,Volleyball,Volleyball Women's Volleyball
7820,Gyngyi Bardi-Gerevich,F,22.0,172.0,61.0,Hungary,HUN,1980,Moskva,Volleyball,Volleyball Women's Volleyball
7836,Mounir Barek,M,24.0,174.0,68.0,Tunisia,TUN,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball
7852,Andrea Bari,M,32.0,184.0,80.0,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball
7975,Nelly Barnet Wilson,F,21.0,184.0,68.0,Cuba,CUB,1972,Munich,Volleyball,Volleyball Women's Volleyball
7975,Nelly Barnet Wilson,F,25.0,184.0,68.0,Cuba,CUB,1976,Montreal,Volleyball,Volleyball Women's Volleyball
7975,Nelly Barnet Wilson,F,29.0,184.0,68.0,Cuba,CUB,1980,Moskva,Volleyball,Volleyball Women's Volleyball
7981,Kevin Rees Barnett,M,26.0,198.0,95.0,United States,USA,2000,Sydney,Volleyball,Volleyball Men's Volleyball
7981,Kevin Rees Barnett,M,30.0,198.0,95.0,United States,USA,2004,Athina,Volleyball,Volleyball Men's Volleyball
7993,Tamsin Barnett-Hinchley,F,20.0,193.0,75.0,Australia,AUS,2000,Sydney,Volleyball,Volleyball Women's Volleyball
7993,Tamsin Barnett-Hinchley,F,28.0,193.0,75.0,Australia,AUS,2008,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
7993,Tamsin Barnett-Hinchley,F,32.0,193.0,75.0,Australia-2,AUS,2012,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
8100,John Barrett,M,21.0,200.0,105.0,Canada,CAN,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball
8150,Scott Barron,M,21.0,180.0,73.0,Ireland,IRL,1996,Atlanta,Tennis,Tennis Men's Doubles
8160,Zoila Barros Fernndez,F,28.0,188.0,72.0,Cuba,CUB,2004,Athina,Volleyball,Volleyball Women's Volleyball
8160,Zoila Barros Fernndez,F,32.0,188.0,72.0,Cuba,CUB,2008,Beijing,Volleyball,Volleyball Women's Volleyball
8211,Dmitry Nikolayevich Barsuk,M,28.0,193.0,86.0,Russia,RUS,2008,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
8211,Dmitry Nikolayevich Barsuk,M,36.0,193.0,86.0,Russia-2,RUS,2016,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
8260,Gyula Bartha,M,27.0,186.0,84.0,Romania,ROU,1972,Munich,Volleyball,Volleyball Men's Volleyball
8268,Mona Barthel,F,22.0,185.0,75.0,Germany,GER,2012,London,Tennis,Tennis Women's Singles
8269,"Zhenqi Barthel (Sun-, -Apolnia)",F,21.0,164.0,62.0,Germany,GER,2008,Beijing,Table Tennis,Table Tennis Women's Team
8307,Zbigniew Bartman,M,25.0,198.0,83.0,Poland,POL,2012,London,Volleyball,Volleyball Men's Volleyball
8446,Mirza Bai,M,25.0,188.0,87.0,Bosnia and Herzegovina,BIH,2016,Rio de Janeiro,Tennis,Tennis Men's Singles
8451,Nikoloz Basilashvili,M,24.0,185.0,80.0,Georgia,GEO,2016,Rio de Janeiro,Tennis,Tennis Men's Singles
8485,Carling Kathrin Bassett-Seguso,F,20.0,168.0,54.0,Canada,CAN,1988,Seoul,Tennis,Tennis Women's Singles
8485,Carling Kathrin Bassett-Seguso,F,20.0,168.0,54.0,Canada,CAN,1988,Seoul,Tennis,Tennis Women's Doubles
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,17.0,165.0,55.0,Indonesia,INA,1988,Seoul,Tennis,Tennis Women's Singles
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,21.0,165.0,55.0,Indonesia,INA,1992,Barcelona,Tennis,Tennis Women's Singles
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,21.0,165.0,55.0,Indonesia,INA,1992,Barcelona,Tennis,Tennis Women's Doubles
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,25.0,165.0,55.0,Indonesia,INA,1996,Atlanta,Tennis,Tennis Women's Singles
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,25.0,165.0,55.0,Indonesia,INA,1996,Atlanta,Tennis,Tennis Women's Doubles
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,29.0,165.0,55.0,Indonesia,INA,2000,Sydney,Tennis,Tennis Women's Doubles
8554,Michael Jeremy Bates,M,26.0,180.0,72.0,Great Britain,GBR,1988,Seoul,Tennis,Tennis Men's Singles
