Name,Position,Weigth,Height,Age,Team
Ar'Darius Washington,DB,177, 5-8,25,baltimore-ravens
Broderick Washington,DT,315, 6-2,27,baltimore-ravens
Kristian Welch,LB,239, 6-3,26,baltimore-ravens
Tre'Davious White,DB,192, 5-11,29,baltimore-ravens
Nate Wiggins,DB,182, 6-1,21,baltimore-ravens
Marcus Williams,DB,207, 6-1,28,baltimore-ravens
Malik Hamm,LB,250, 6-3,24,baltimore-ravens
Deonte Harty,WR,170, 5-6,26,baltimore-ravens
Charlie Kolar,TE,257, 6-6,25,baltimore-ravens
Christian Matthew,DB,195, 6-2,28,baltimore-ravens
Arthur Maulet,DB,190, 5-9,31,baltimore-ravens
Trayvon Mullen,DB,190, 6-2,27,baltimore-ravens
Michael Pierce,DB,194, 6-1,22,baltimore-ravens
Malaesala Aumavae-Laulu,OT,325, 6-5,25,baltimore-ravens
Corey Bullock,OT,307, 6-3,22,baltimore-ravens
Malik Cunningham,WR,198, 6-1,26,baltimore-ravens
Darrian Dalcourt,OG,309, 6-3,24,baltimore-ravens
Anthony Kendall,DB,177, 5-10,24,baltimore-ravens
Desmond King,DB,200, 5-10,29,baltimore-ravens
Keith Kirkwood,WR,210, 6-3,30,baltimore-ravens
Devin Leary,QB,216, 6-1,25,baltimore-ravens
Anthony Miller,WR,190, 5-11,30,baltimore-ravens
Zaire Mitchell-Paden,TE,257, 6-5,25,baltimore-ravens
Adedayo Odeleye,DE,271, 6-5,27,baltimore-ravens
CJ Ravenell,DE,292, 6-5,24,baltimore-ravens
Josh Tupou,DT,350, 6-3,30,baltimore-ravens
Dayton Wade,WR,176, 5-9,24,baltimore-ravens
Scotty Washington,TE,217, 6-5,27,baltimore-ravens
Chris Collier,RB,210, 5-11,24,baltimore-ravens
Ryan Cooper,DB,192, 5-11,23,baltimore-ravens
Ka'dar Hollman,DB,196, 6-0,30,baltimore-ravens
Eddie Jackson,DB,202, 6-0,31,baltimore-ravens
John Kelly,RB,205, 5-10,29,baltimore-ravens
Yannick Ngakoue,LB,250, 6-3,29,baltimore-ravens
Cal Adomitis,LS,238, 6-2,26,cincinnati-bengals
Tycen Anderson,DB,209, 6-2,25,cincinnati-bengals
Daijahn Anthony,DB,191, 6-0,24,cincinnati-bengals
Joe Bachie,LB,235, 6-2,26,cincinnati-bengals
Jordan Battle,DB,210, 6-1,23,cincinnati-bengals
Vonn Bell,DB,205, 5-11,29,cincinnati-bengals
Chase Brown,RB,211, 5-10,24,cincinnati-bengals
Orlando Brown,OT,345, 6-8,28,cincinnati-bengals
Jake Browning,QB,209, 6-2,28,cincinnati-bengals
Joe Burrow,QB,215, 6-4,27,cincinnati-bengals
Jermaine Burton,WR,194, 6-0,23,cincinnati-bengals
Alex Cappa,OG,310, 6-6,29,cincinnati-bengals
Ja'Marr Chase,WR,201, 6-0,24,cincinnati-bengals
Devin Cochran,OT,310, 6-7,26,cincinnati-bengals
Akeem Davis,LB,228, 6-2,27,cincinnati-bengals
Cody Ford,OG,329, 6-3,27,cincinnati-bengals
Mike Gesicki,TE,252, 6-6,29,cincinnati-bengals
Cam Grandy,TE,253, 6-5,24,cincinnati-bengals
Trey Hendrickson,DE,270, 6-4,29,cincinnati-bengals
Khalil Herbert,RB,212, 5-9,26,cincinnati-bengals
Tee Higgins,DT,311, 6-3,29,cincinnati-bengals
Mike Hilton,DB,184, 5-9,30,cincinnati-bengals
Sam Hubbard,DE,265, 6-5,29,cincinnati-bengals
Tanner Hudson,TE,239, 6-5,30,cincinnati-bengals
Andrei Iosivas,WR,205, 6-3,25,cincinnati-bengals
Trenton Irwin,WR,200, 6-2,28,cincinnati-bengals
DJ Ivey,DB,192, 6-1,24,cincinnati-bengals
McKinnley Jackson,DT,331, 6-2,22,cincinnati-bengals
Kris Jenkins,DT,305, 6-3,23,cincinnati-bengals
Cedric Johnson,DE,260, 6-3,22,cincinnati-bengals
Charlie Jones,WR,183, 6-0,26,cincinnati-bengals
Ted Karras,C,310, 6-4,31,cincinnati-bengals
Matthew Lee,C,301, 6-4,23,cincinnati-bengals
Tanner McLachlan,TE,245, 6-5,25,cincinnati-bengals
Evan McPherson,K,185, 5-11,25,cincinnati-bengals
Amarius Mims,OT,340, 6-8,22,cincinnati-bengals
Myles Murphy,DE,270, 6-5,22,cincinnati-bengals
Josh Newton,DB,190, 6-0,24,cincinnati-bengals
Maema Njongmeta,LB,230, 6-0,23,cincinnati-bengals
Joseph Ossai,DE,263, 6-4,24,cincinnati-bengals
Germaine Pratt,LB,250, 6-3,28,cincinnati-bengals
Sheldon Rankins,DT,305, 6-2,30,cincinnati-bengals
Ryan Rehkow,P,235, 6-5,26,cincinnati-bengals
Drew Sample,TE,255, 6-5,28,cincinnati-bengals
Geno Stone,DB,210, 5-11,25,cincinnati-bengals
Cam Taylor-Britt,DB,202, 5-11,25,cincinnati-bengals
Jay Tufele,DT,305, 6-3,25,cincinnati-bengals
Cordell Volson,OG,315, 6-6,26,cincinnati-bengals
Isaiah Williams,WR,185, 5-10,23,cincinnati-bengals
Trayveon Williams,RB,206, 5-8,27,cincinnati-bengals
Logan Wilson,LB,245, 6-2,28,cincinnati-bengals
Erick All,TE,255, 6-5,24,cincinnati-bengals
Trenton Brown,OT,380, 6-8,31,cincinnati-bengals
Chris Evans,RB,215, 5-11,27,cincinnati-bengals
Daxton Hill,DB,191, 6-0,24,cincinnati-bengals
Jaxson Kirkland,OG,328, 6-7,26,cincinnati-bengals
Zack Moss,RB,215, 5-10,26,cincinnati-bengals
Lance Robinson,DB,185, 5-10,24,cincinnati-bengals
Cameron Sample,DE,272, 6-3,25,cincinnati-bengals
D'Ante Smith,OT,309, 6-5,26,cincinnati-bengals
Micah Abraham,DB,185, 5-11,23,cincinnati-bengals
Gary Brightwell,RB,218, 6-1,25,cincinnati-bengals
Nate Brooks,DB,192, 6-0,28,cincinnati-bengals
Cole Burgess,WR,192, 6-1,24,cincinnati-bengals
Andrew Coker,OT,315, 6-7,23,cincinnati-bengals
Jalen Davis,DB,190, 5-10,28,cincinnati-bengals
Shaka Heyward,LB,238, 6-3,24,cincinnati-bengals
Trey Hill,C,335, 6-4,24,cincinnati-bengals
Raymond Johnson,DE,270, 6-3,26,cincinnati-bengals
Tashawn Manning,OG,340, 6-4,26,cincinnati-bengals
Kendall Milton,RB,230, 6-1,22,cincinnati-bengals
Kendric Pryor,WR,189, 5-11,26,cincinnati-bengals
Justin Rogers,DT,335, 6-3,23,cincinnati-bengals
Andrew Stueber,OT,338, 6-7,25,cincinnati-bengals
Zachary Carter,DT,290, 6-4,25,cincinnati-bengals
Lawrence Guy,DE,315, 6-4,34,cincinnati-bengals
Jordan Akins,TE,245, 6-4,32,cleveland-browns
Chigozie Anusiem,DB,200, 6-1,24,cleveland-browns
D'Anthony Bell,DB,211, 6-1,28,cleveland-browns
Joel Bitonio,OG,320, 6-4,33,cleveland-browns
