Name,Position,Weigth,Height,Age,Team
Ernest Jones,LB,230, 6-2,25,tennessee-titans
Caleb Murphy,LB,254, 6-3,24,tennessee-titans
Kris Abrams-Draine,DB,178, 5-11,23,denver-broncos
Nate Adkins,TE,252, 6-3,25,denver-broncos
Zach Allen,DE,285, 6-5,27,denver-broncos
Levelle Bailey,LB,225, 6-2,23,denver-broncos
Cody Barton,LB,237, 6-2,28,denver-broncos
Garett Bolles,OT,300, 6-5,32,denver-broncos
Nik Bonitto,LB,240, 6-3,25,denver-broncos
Michael Burton,RB,247, 6-0,32,denver-broncos
Jonathon Cooper,LB,257, 6-4,26,denver-broncos
Frank Crum,OT,315, 6-7,24,denver-broncos
Zach Cunningham,LB,230, 6-3,29,denver-broncos
Riley Dixon,P,221, 6-4,31,denver-broncos
Jonah Elliss,LB,246, 6-2,21,denver-broncos
Audric Estime,RB,227, 5-11,21,denver-broncos
Alex Forsyth,C,312, 6-4,25,denver-broncos
MItchell Fraboni,LS,223, 6-2,28,denver-broncos
Troy Franklin,WR,180, 6-3,21,denver-broncos
John Franklin-Myers,DE,288, 6-4,28,denver-broncos
Lil'Jordan Humphrey,WR,225, 6-4,26,denver-broncos
Jordan Jackson,DT,294, 6-4,26,denver-broncos
Brandon Jones,DT,305, 6-0,30,denver-broncos
Devon Key,DB,208, 6-0,27,denver-broncos
Lucas Krull,DB,202, 5-10,27,denver-broncos
Wil Lutz,K,184, 5-11,30,denver-broncos
Damarri Mathis,DB,195, 5-11,25,denver-broncos
Mike McGlinchey,OT,315, 6-8,30,denver-broncos
Jaleel McLaughlin,RB,187, 5-7,24,denver-broncos
Ja'Quan McMillian,DB,183, 5-10,24,denver-broncos
Quinn Meinerz,OG,320, 6-3,26,denver-broncos
Marvin Mims,WR,182, 5-11,22,denver-broncos
Riley Moss,DB,193, 6-0,24,denver-broncos
Bo Nix,QB,217, 6-2,24,denver-broncos
Alex Palczewski,OT,314, 6-6,25,denver-broncos
Matt Peart,OT,318, 6-7,27,denver-broncos
Ben Powers,OG,310, 6-4,28,denver-broncos
Malcolm Roach,DT,290, 6-3,26,denver-broncos
Drew Sanders,LB,233, 6-5,23,denver-broncos
JL Skinner,DB,220, 6-4,23,denver-broncos
Tremon Smith,DB,190, 6-0,28,denver-broncos
Jarrett Stidham,QB,215, 6-3,28,denver-broncos
Justin Strnad,LB,235, 6-3,28,denver-broncos
Patrick Surtain,DB,202, 6-2,24,denver-broncos
Courtland Sutton,WR,216, 6-4,29,denver-broncos
Dondrea Tillman,LB,270, 6-4,26,denver-broncos
Adam Trautman,TE,253, 6-5,27,denver-broncos
Eyioma Uwazurike,DT,320, 6-6,26,denver-broncos
Devaughn Vele,WR,210, 6-5,26,denver-broncos
Levi Wallace,DB,179, 6-0,29,denver-broncos
Luke Wattenberg,C,300, 6-5,27,denver-broncos
Javonte Williams,RB,220, 5-10,24,denver-broncos
Zach Wilson,QB,214, 6-2,25,denver-broncos
Tyler Badie,RB,197, 5-8,25,denver-broncos
Quinn Bailey,OT,323, 6-6,29,denver-broncos
Josh Reynolds,WR,192, 6-3,29,denver-broncos
Alex Singleton,LB,240, 6-2,30,denver-broncos
Michael Bandy,WR,190, 5-10,26,denver-broncos
Andrew Farmer,LB,250, 6-4,24,denver-broncos
Cameron Fleming,OT,320, 6-5,32,denver-broncos
Nick Gargiulo,OG,310, 6-5,24,denver-broncos
Matt Henningsen,DE,291, 6-3,25,denver-broncos
Tanner McCalister,DB,191, 5-11,24,denver-broncos
Jordan Miller,DT,307, 6-3,24,denver-broncos
Quinton Newsome,DB,185, 6-1,23,denver-broncos
Donald Parham,WR,205, 6-5,25,denver-broncos
David Sills,WR,211, 6-3,28,denver-broncos
Keidron Smith,DB,210, 6-2,25,denver-broncos
Reese Taylor,DB,188, 5-9,25,denver-broncos
Calvin Throckmorton,OG,311, 6-5,28,denver-broncos
Blake Watson,RB,195, 5-9,25,denver-broncos
Kwon Alexander,LB,227, 6-1,30,denver-broncos
Baron Browning,LB,240, 6-3,25,denver-broncos
Greg Dulcich,TE,245, 6-4,24,denver-broncos
Felix Anudike,DE,255, 6-4,22,kansas-city-chiefs
Matt Araiza,P,200, 6-2,24,kansas-city-chiefs
Nick Bolton,LB,237, 5-11,24,kansas-city-chiefs
Mike Caliendo,OG,301, 6-4,27,kansas-city-chiefs
Leo Chenal,LB,250, 6-3,24,kansas-city-chiefs
Jack Cochrane,LB,236, 6-3,25,kansas-city-chiefs
Chamarri Conner,DB,206, 6-0,24,kansas-city-chiefs
Bryan Cook,DB,206, 6-1,25,kansas-city-chiefs
Mike Danna,DE,257, 6-2,27,kansas-city-chiefs
Ethan Driskell,OT,312, 6-8,24,kansas-city-chiefs
Clyde Edwards-Helaire,RB,207, 5-7,25,kansas-city-chiefs
Noah Gray,OG,300, 6-5,23,kansas-city-chiefs
Mecole Hardman,WR,187, 5-10,26,kansas-city-chiefs
Malik Herring,DE,275, 6-3,27,kansas-city-chiefs
Jaden Hicks,DB,215, 6-1,22,kansas-city-chiefs
DeAndre Hopkins,WR,218, 6-1,32,kansas-city-chiefs
Creed Humphrey,OT,307, 6-5,30,kansas-city-chiefs
Kareem Hunt,RB,216, 5-10,29,kansas-city-chiefs
Nazeeh Johnson,DB,199, 5-10,26,kansas-city-chiefs
Cam Jones,LB,227, 6-2,25,kansas-city-chiefs
Chris Jones,DT,310, 6-6,30,kansas-city-chiefs
George Karlaftis,DE,263, 6-4,23,kansas-city-chiefs
Travis Kelce,TE,250, 6-5,35,kansas-city-chiefs
Patrick Mahomes,QB,225, 6-2,29,kansas-city-chiefs
Trent McDuffie,DB,193, 5-11,24,kansas-city-chiefs
Wanya Morris,OT,307, 6-6,24,kansas-city-chiefs
Derrick Nnadi,DT,317, 6-1,28,kansas-city-chiefs
Hunter Nourzad,C,317, 6-3,24,kansas-city-chiefs
Charles Omenihu,DE,280, 6-5,27,kansas-city-chiefs
Isiah Pacheco,RB,216, 5-10,25,kansas-city-chiefs
Mike Pennel,DT,332, 6-4,33,kansas-city-chiefs
Samaje Perine,RB,236, 5-10,29,kansas-city-chiefs
Justin Reid,DB,207, 6-1,27,kansas-city-chiefs
Christian Roland-Wallace,DB,203, 5-11,23,kansas-city-chiefs
Spencer Shrader,K,201, 6-2,25,kansas-city-chiefs
Trey Smith,OG,321, 6-6,25,kansas-city-chiefs
JuJu Smith-Schuster,WR,215, 6-1,28,kansas-city-chiefs
Carson Steele,RB,228, 6-0,22,kansas-city-chiefs
Kingsley Suamataia,OT,326, 6-4,21,kansas-city-chiefs
Jawaan Taylor,OT,330, 6-5,27,kansas-city-chiefs
Keith Taylor,DB,195, 6-3,25,kansas-city-chiefs
Joe Thuney,OG,304, 6-5,32,kansas-city-chiefs
Drue Tranquill,LB,234, 6-2,29,kansas-city-chiefs
Marlon Tuipulotu,DT,307, 6-2,25,kansas-city-chiefs
Josh Uche,LB,240, 6-1,26,kansas-city-chiefs
Justin Watson,WR,215, 6-2,29,kansas-city-chiefs
Carson Wentz,QB,237, 6-5,31,kansas-city-chiefs
Tershawn Wharton,DT,280, 6-1,26,kansas-city-chiefs
Joshua Williams,DB,193, 6-3,25,kansas-city-chiefs
James Winchester,LS,209, 6-3,35,kansas-city-chiefs
Marquise Brown,WR,170, 5-9,27,kansas-city-chiefs
Harrison Butker,K,205, 6-4,29,kansas-city-chiefs
Joe Fortson,TE,226, 6-4,28,kansas-city-chiefs
Peyton Hendershot,TE,254, 6-4,25,kansas-city-chiefs
McKade Mettauer,OG,307, 6-3,24,kansas-city-chiefs
Skyy Moore,WR,195, 5-10,24,kansas-city-chiefs
Rashee Rice,WR,204, 6-1,24,kansas-city-chiefs
Jaylen Watson,DB,197, 6-2,26,kansas-city-chiefs
Jared Wiley,TE,249, 6-6,24,kansas-city-chiefs
Swayze Bozeman,LB,224, 6-1,26,kansas-city-chiefs
Deon Bush,DB,200, 6-0,31,kansas-city-chiefs
Cole Christiansen,LB,230, 6-1,27,kansas-city-chiefs
Baylor Cupp,TE,243, 6-6,24,kansas-city-chiefs
Anthony Firkser,TE,241, 6-2,29,kansas-city-chiefs
Chukwuebuka Godrick,OT,295, 6-5,24,kansas-city-chiefs
Keaontay Ingram,RB,215, 6-0,25,kansas-city-chiefs
Nic Jones,DB,189, 6-0,23,kansas-city-chiefs
Fabien Lovett,DT,307, 6-3,24,kansas-city-chiefs
Chris Oladokun,QB,195, 6-2,27,kansas-city-chiefs
Nikko Remigio,WR,187, 5-9,25,kansas-city-chiefs
Justyn Ross,WR,210, 6-4,24,kansas-city-chiefs
Darius Rush,DB,198, 6-2,24,kansas-city-chiefs
Eric Scott,DB,197, 6-0,25,kansas-city-chiefs
Montrell Washington,WR,170, 5-10,25,kansas-city-chiefs
Matthew Wright,K,174, 5-11,28,kansas-city-chiefs
Cameron Thomas,DE,265, 6-4,24,kansas-city-chiefs
Ameer Abdullah,RB,203, 5-9,31,las-vegas-raiders
Jacob Bobenmoyer,LS,235, 6-2,27,las-vegas-raiders
Brock Bowers,TE,230, 6-4,21,las-vegas-raiders
Harrison Bryant,TE,230, 6-5,26,las-vegas-raiders
Amari Burney,LB,228, 6-2,24,las-vegas-raiders
Adam Butler,DT,300, 6-5,30,las-vegas-raiders
Matthew Butler,DT,290, 6-3,25,las-vegas-raiders
Daniel Carlson,K,215, 6-5,29,las-vegas-raiders
Zachary Carter,DT,290, 6-4,25,las-vegas-raiders
K'Lavon Chaisson,DE,254, 6-3,25,las-vegas-raiders
Maxx Crosby,DE,255, 6-5,27,las-vegas-raiders
Divine Deablo,LB,223, 6-3,26,las-vegas-raiders
Tommy Eichenberg,LB,239, 6-2,23,las-vegas-raiders
Amari Gainer,LB,236, 6-3,24,las-vegas-raiders
Delmar Glaze,OT,323, 6-4,22,las-vegas-raiders
Thomas Harper,DB,195, 5-10,24,las-vegas-raiders
Nate Hobbs,DB,195, 6-0,25,las-vegas-raiders
Darnay Holmes,DB,195, 5-10,26,las-vegas-raiders
Andre James,C,300, 6-4,27,las-vegas-raiders
John Jenkins,DT,327, 6-3,35,las-vegas-raiders
Jack Jones,DB,175, 5-11,26,las-vegas-raiders
Ramel Keyton,WR,197, 6-3,24,las-vegas-raiders
Dylan Laube,RB,208, 5-10,24,las-vegas-raiders
Jonah Laulu,DT,292, 6-5,24,las-vegas-raiders
Terrace Marshall,WR,200, 6-2,24,las-vegas-raiders
Alexander Mattison,RB,220, 5-11,26,las-vegas-raiders
Kana'i Mauga,LB,245, 6-2,24,las-vegas-raiders
Michael Mayer,TE,265, 6-4,23,las-vegas-raiders
Jordan Meredith,OG,300, 6-2,26,las-vegas-raiders
Jakobi Meyers,WR,200, 6-2,28,las-vegas-raiders
Kolton Miller,OT,325, 6-8,29,las-vegas-raiders
Tre'von Moehrig,DB,202, 6-2,25,las-vegas-raiders
Thayer Munford,OT,315, 6-6,25,las-vegas-raiders
Aidan O'Connell,QB,210, 6-3,26,las-vegas-raiders
Dylan Parham,OG,285, 6-3,25,las-vegas-raiders
Andrus Peat,OT,316, 6-7,31,las-vegas-raiders
Isaiah Pola-Mao,DB,205, 6-4,25,las-vegas-raiders
Jackson Powers-Johnson,OG,334, 6-3,21,las-vegas-raiders
Decamerion Richardson,DB,195, 6-2,23,las-vegas-raiders
Desmond Ridder,QB,207, 6-3,25,las-vegas-raiders
Janarius Robinson,DE,260, 6-5,26,las-vegas-raiders
Justin Shorter,TE,228, 6-5,24,las-vegas-raiders
Christopher Smith,DB,195, 5-11,24,las-vegas-raiders
Charles Snowden,DE,245, 6-7,26,las-vegas-raiders
Robert Spillane,LB,229, 6-1,28,las-vegas-raiders
Trey Taylor,DB,213, 6-0,23,las-vegas-raiders
Tre Tucker,WR,205, 5-9,27,las-vegas-raiders
Sam Webb,DB,195, 6-2,26,las-vegas-raiders
Zamir White,RB,215, 6-0,25,las-vegas-raiders
Cody Whitehair,OG,316, 6-3,32,las-vegas-raiders
Tyree Wilson,DE,275, 6-6,24,las-vegas-raiders
Jakorian Bennett,DB,195, 5-11,24,las-vegas-raiders
Marcus Epps,DB,191, 6-0,28,las-vegas-raiders
Jeff Foreman,WR,186, 6-0,24,las-vegas-raiders
Tomari Fox,DT,288, 6-2,23,las-vegas-raiders
Jacob Johanning,OG,290, 6-2,24,las-vegas-raiders
Malcolm Koonce,DE,250, 6-3,26,las-vegas-raiders
Luke Masterson,LB,220, 6-1,26,las-vegas-raiders
Gardner Minshew,QB,225, 6-1,28,las-vegas-raiders
Gottlieb Ayedze,OT,309, 6-4,24,las-vegas-raiders
Alex Bachman,WR,190, 6-0,28,las-vegas-raiders
Carter Bradley,QB,216, 6-3,24,las-vegas-raiders
Chris Collier,RB,210, 5-11,24,las-vegas-raiders
Cole Fotheringham,TE,243, 6-4,27,las-vegas-raiders
Keenan Isaac,DB,190, 6-3,24,las-vegas-raiders
Tyreik McAllister,RB,180, 5-11,26,las-vegas-raiders
Marquan McCall,DT,345, 6-3,25,las-vegas-raiders
Sincere McCormick,RB,205, 5-9,24,las-vegas-raiders
Will Putnam,C,310, 6-4,24,las-vegas-raiders
Dalton Wagner,OT,320, 6-8,26,las-vegas-raiders
Kristian Wilkerson,WR,214, 6-1,27,las-vegas-raiders
Davante Adams,WR,215, 6-1,31,las-vegas-raiders
Joe Alt,OT,322, 6-8,21,los-angeles-chargers
Dicaprio Bootle,DB,180, 5-10,27,los-angeles-chargers
Joey Bosa,LB,280, 6-5,29,los-angeles-chargers
Bradley Bozeman,WR,200, 6-3,28,los-angeles-chargers
Derius Davis,WR,165, 5-8,24,los-angeles-chargers
Cameron Dicker,K,216, 6-1,24,los-angeles-chargers
Will Dissly,TE,265, 6-4,28,los-angeles-chargers
Alvin Dupree,LB,269, 6-4,31,los-angeles-chargers
Troy Dye,LB,231, 6-3,28,los-angeles-chargers
Justin Eboigbe,DT,292, 6-5,23,los-angeles-chargers
Gus Edwards,RB,238, 6-1,29,los-angeles-chargers
Tucker Fisk,TE,285, 6-4,25,los-angeles-chargers
Poona Ford,DE,310, 5-11,29,los-angeles-chargers
Morgan Fox,DE,275, 6-3,30,los-angeles-chargers
Kristian Fulton,DB,197, 5-11,26,los-angeles-chargers
Josh Harris,LS,224, 6-1,35,los-angeles-chargers
Cam Hart,DB,207, 6-2,23,los-angeles-chargers
Hassan Haskins,RB,228, 6-2,25,los-angeles-chargers
Taylor Heinicke,QB,210, 6-1,31,los-angeles-chargers
Daiyan Henley,LB,225, 6-1,25,los-angeles-chargers
Justin Herbert,QB,236, 6-6,26,los-angeles-chargers
Brenden Jaimes,OG,300, 6-5,25,los-angeles-chargers
Derwin James,DB,215, 6-2,28,los-angeles-chargers
Jeremiah Jean-Baptiste,LB,230, 6-2,23,los-angeles-chargers
Tony Jefferson,DB,212, 5-11,32,los-angeles-chargers
Zion Johnson,OG,316, 6-3,25,los-angeles-chargers
Quentin Johnston,WR,215, 6-4,23,los-angeles-chargers
Deane Leonard,DB,195, 6-0,25,los-angeles-chargers
Khalil Mack,LB,269, 6-3,33,los-angeles-chargers
Scott Matlock,RB,296, 6-4,24,los-angeles-chargers
Ladd McConkey,WR,185, 6-0,23,los-angeles-chargers
Jordan McFadden,OG,303, 6-2,25,los-angeles-chargers
Elijah Molden,DB,191, 5-10,25,los-angeles-chargers
Sam Mustipher,C,306, 6-3,28,los-angeles-chargers
Nick Niemann,LB,244, 6-3,27,los-angeles-chargers
Otito Ogbonnia,DT,320, 6-4,24,los-angeles-chargers
Josh Palmer,WR,210, 6-1,25,los-angeles-chargers
Denzel Perryman,LB,240, 5-11,30,los-angeles-chargers
Trey Pipkins,OT,307, 6-6,28,los-angeles-chargers
Shaquille Quarterman,LB,234, 6-0,27,los-angeles-chargers
Jalen Reagor,WR,197, 5-11,25,los-angeles-chargers
Jamaree Salyer,OG,325, 6-4,24,los-angeles-chargers
Foster Sarell,OT,322, 6-6,26,los-angeles-chargers
JK Scott,P,208, 6-5,29,los-angeles-chargers
Rashawn Slater,OT,315, 6-4,25,los-angeles-chargers
Stone Smartt,TE,226, 6-4,26,los-angeles-chargers
Easton Stick,QB,224, 6-1,29,los-angeles-chargers
Tarheeb Still,DB,196, 6-1,22,los-angeles-chargers
Teair Tart,DT,304, 6-2,27,los-angeles-chargers
Ja'Sir Taylor,DB,185, 5-10,25,los-angeles-chargers
Tuli Tuipulotu,LB,266, 6-3,22,los-angeles-chargers
Kimani Vidal,RB,215, 5-8,23,los-angeles-chargers
Eli Apple,DB,199, 6-1,29,los-angeles-chargers
Chris Collins,LB,255, 6-5,24,los-angeles-chargers
Junior Colson,RB,212, 5-10,25,los-angeles-chargers
Simi Fehoko,WR,218, 6-4,27,los-angeles-chargers
Alohi Gilman,DB,201, 5-10,27,los-angeles-chargers
Hayden Hurst,TE,245, 6-4,31,los-angeles-chargers
Tyler McLellan,OT,355, 6-8,25,los-angeles-chargers
Brenden Rice,WR,210, 6-3,22,los-angeles-chargers
Chris Rumph,LB,244, 6-2,26,los-angeles-chargers
Asante Samuel,DB,180, 5-10,25,los-angeles-chargers
Bucky Williams,C,300, 6-3,24,los-angeles-chargers
Karsen Barnhart,OG,316, 6-5,23,los-angeles-chargers
McCallan Castles,TE,250, 6-4,24,los-angeles-chargers
Dez Fitzpatrick,WR,208, 6-2,26,los-angeles-chargers
Chris Hinton,DB,216, 6-2,24,los-angeles-chargers
Jaylen Johnson,WR,194, 6-2,24,los-angeles-chargers
Alex Leatherwood,OG,312, 6-5,25,los-angeles-chargers
Tre'mon Morris-Brash,LB,245, 6-2,24,los-angeles-chargers
Caleb Murphy,LB,254, 6-3,24,los-angeles-chargers
Basil Okoye,DT,315, 6-6,23,los-angeles-chargers
Jaret Patterson,RB,195, 5-8,24,los-angeles-chargers
Eric Tomlinson,TE,263, 6-6,32,los-angeles-chargers
Shaun Wade,DB,191, 6-1,26,los-angeles-chargers
Kendall Williamson,DB,188, 6-0,23,los-angeles-chargers
Bryan Anger,P,202, 6-3,36,dallas-cowboys
Brandon Aubrey,K,208, 6-3,29,dallas-cowboys
Cooper Beebe,OG,335, 6-4,23,dallas-cowboys
DaRon Bland,DB,197, 6-0,25,dallas-cowboys
Jalen Brooks,WR,205, 6-2,24,dallas-cowboys
Josh Butler,DB,182, 6-0,28,dallas-cowboys
Damone Clark,LB,240, 6-3,24,dallas-cowboys
Brandin Cooks,WR,189, 5-10,31,dallas-cowboys
Trevon Diggs,DB,195, 6-2,26,dallas-cowboys
Rico Dowdle,RB,215, 6-0,26,dallas-cowboys
Chuma Edoga,OG,308, 6-3,27,dallas-cowboys
Ezekiel Elliott,RB,228, 6-0,29,dallas-cowboys
Princeton Fant,TE,235, 6-2,25,dallas-cowboys
Jake Ferguson,TE,244, 6-5,25,dallas-cowboys
Ryan Flournoy,WR,200, 6-1,25,dallas-cowboys
Chauncey Golston,DB,190, 6-3,34,dallas-cowboys
Tyler Guyton,OT,322, 6-7,23,dallas-cowboys
Brock Hoffman,C,302, 6-4,25,dallas-cowboys
Malik Hooker,DB,212, 6-2,28,dallas-cowboys
Buddy Johnson,LB,240, 6-2,25,dallas-cowboys
Linval Joseph,DT,328, 6-4,36,dallas-cowboys
Eric Kendricks,LB,232, 6-0,32,dallas-cowboys
Marshawn Kneeland,DE,268, 6-3,23,dallas-cowboys
CeeDee Lamb,WR,200, 6-2,25,dallas-cowboys
Trey Lance,QB,226, 6-4,24,dallas-cowboys
Carl Lawson,DE,260, 6-2,29,dallas-cowboys
Jourdan Lewis,DB,195, 5-10,29,dallas-cowboys
Marist Liufau,LB,239, 6-2,23,dallas-cowboys
Hunter Luepke,RB,238, 6-1,24,dallas-cowboys
Zack Martin,OG,315, 6-4,34,dallas-cowboys
Jonathan Mingo,WR,220, 6-2,23,dallas-cowboys
Israel Mukuamu,DB,205, 6-4,25,dallas-cowboys
Osa Odighizuwa,DT,280, 6-2,26,dallas-cowboys
DeMarvion Overshown,LB,220, 6-2,24,dallas-cowboys
Micah Parsons,LB,245, 6-3,25,dallas-cowboys
Cooper Rush,QB,225, 6-3,31,dallas-cowboys
Luke Schoonmaker,TE,250, 6-5,26,dallas-cowboys
Trent Sieg,LS,240, 6-3,29,dallas-cowboys
Mazi Smith,DT,337, 6-3,23,dallas-cowboys
Tyler Smith,OT,332, 6-6,23,dallas-cowboys
Brevyn Spann-Ford,TE,270, 6-7,24,dallas-cowboys
Terence Steele,OT,310, 6-6,27,dallas-cowboys
Juanyeh Thomas,DB,217, 6-3,24,dallas-cowboys
Jalen Tolbert,WR,195, 6-1,25,dallas-cowboys
KaVontae Turpin,WR,153, 5-9,28,dallas-cowboys
Deuce Vaughn,RB,176, 5-6,23,dallas-cowboys
Nick Vigil,LB,239, 6-2,31,dallas-cowboys
Matt Waletzko,OT,305, 6-8,24,dallas-cowboys
Carlos Watkins,DE,305, 6-3,30,dallas-cowboys
Tyrus Wheat,DE,260, 6-2,24,dallas-cowboys
Markquese Bell,DB,205, 6-3,25,dallas-cowboys
Earl Bostick,OT,310, 6-6,25,dallas-cowboys
Caelen Carson,DB,195, 6-0,22,dallas-cowboys
Demarcus Lawrence,DE,265, 6-3,32,dallas-cowboys
Amani Oruwariye,DB,205, 6-2,28,dallas-cowboys
Dak Prescott,QB,238, 6-2,31,dallas-cowboys
Asim Richards,OT,307, 6-4,24,dallas-cowboys
John Stephens,TE,221, 6-5,25,dallas-cowboys
Nathan Thomas,OT,331, 6-4,23,dallas-cowboys
Josh Ball,OT,304, 6-8,26,dallas-cowboys
Andrew Booth,DB,194, 6-0,24,dallas-cowboys
Dalvin Cook,RB,210, 5-10,29,dallas-cowboys
Jalen Cropper,WR,172, 6-0,23,dallas-cowboys
Malik Davis,RB,202, 5-11,26,dallas-cowboys
Denzel Daxon,DT,320, 6-2,25,dallas-cowboys
Will Grier,QB,220, 6-1,29,dallas-cowboys
Kemon Hall,DB,190, 5-11,27,dallas-cowboys
Kelvin Harmon,WR,215, 6-2,27,dallas-cowboys
Darius Harris,LB,238, 6-2,28,dallas-cowboys
Brock Mogensen,LB,235, 6-2,24,dallas-cowboys
Dakoda Shepley,C,290, 6-5,29,dallas-cowboys
Luiji Vilain,LB,252, 6-4,26,dallas-cowboys
Seth Williams,DE,255, 6-4,25,dallas-cowboys
Matthew Adams,LB,230, 6-0,28,new-york-giants
Deonte Banks,DB,200, 6-2,23,new-york-giants
Daniel Bellinger,TE,255, 6-6,24,new-york-giants
Dane Belton,DB,190, 6-1,23,new-york-giants
Tim Boyle,QB,232, 6-4,30,new-york-giants
Brian Burns,LB,250, 6-5,26,new-york-giants
Elijah Chatman,DT,278, 6-0,23,new-york-giants
Tommy DeVito,QB,210, 6-2,26,new-york-giants
Greg Dulcich,TE,245, 6-4,24,new-york-giants
Jermaine Eluemunor,OT,338, 6-4,29,new-york-giants
Joshua Ezeudu,OT,310, 6-4,25,new-york-giants
Cordale Flott,DB,175, 6-2,25,new-york-giants
Bryce Ford-Wheaton,WR,220, 6-3,24,new-york-giants
Tomon Fox,LB,245, 6-2,26,new-york-giants
Graham Gano,K,202, 6-2,37,new-york-giants
Jamie Gillan,P,207, 6-1,27,new-york-giants
Eric Gray,RB,211, 5-10,25,new-york-giants
Art Green,DB,200, 6-2,24,new-york-giants
Tre Hawkins,DB,195, 6-3,24,new-york-giants
Chris Hubbard,OT,285, 6-4,33,new-york-giants
Jalin Hyatt,WR,185, 6-0,23,new-york-giants
Adoree' Jackson,DB,185, 5-11,29,new-york-giants
Anthony Johnson,DB,205, 6-0,25,new-york-giants
Patrick Johnson,LB,248, 6-2,26,new-york-giants
Theo Johnson,TE,264, 6-6,23,new-york-giants
Casey Kreiter,LS,250, 6-1,34,new-york-giants
Jake Kubas,OG,308, 6-4,24,new-york-giants
Dexter Lawrence,DE,340, 6-4,27,new-york-giants
Drew Lock,QB,228, 6-4,28,new-york-giants
Chris Manhertz,TE,235, 6-6,32,new-york-giants
Micah McFadden,LB,232, 6-2,24,new-york-giants
Darius Muasau,LB,234, 6-0,23,new-york-giants
Malik Nabers,WR,200, 6-0,21,new-york-giants
Evan Neal,OT,340, 6-7,24,new-york-giants
Tyler Nubin,DB,210, 6-2,23,new-york-giants
Rakeem Nunez-Roches,DT,305, 6-2,31,new-york-giants
Bobby Okereke,LB,235, 6-2,28,new-york-giants
Jason Pinnock,DB,200, 6-0,25,new-york-giants
Jordon Riley,DT,315, 6-5,26,new-york-giants
Wan'Dale Robinson,WR,185, 5-8,23,new-york-giants
Jon Runyan,OG,307, 6-4,27,new-york-giants
Isaiah Simmons,LB,238, 6-4,26,new-york-giants
Devin Singletary,RB,203, 5-7,27,new-york-giants
Darius Slayton,WR,198, 6-1,27,new-york-giants
Ihmir Smith-Marsette,WR,185, 6-1,25,new-york-giants
Aaron Stinnie,OG,312, 6-3,30,new-york-giants
Ty Summers,LB,241, 6-1,28,new-york-giants
Kayvon Thibodeaux,LB,258, 6-5,23,new-york-giants
Tyrone Tracy,RB,210, 5-11,25,new-york-giants
Timmy Horne,DT,323, 6-4,27,new-york-giants
Dyontae Johnson,LB,230, 6-2,24,new-york-giants
Azeez Ojulari,DE,240, 6-3,24,new-york-giants
Gunner Olszewski,WR,190, 6-0,28,new-york-giants
Elijah Riley,DB,205, 6-0,26,new-york-giants
Austin Schlottmann,C,300, 6-6,29,new-york-giants
Jonathan Sutherland,DB,214, 5-11,25,new-york-giants
Andrew Thomas,OT,315, 6-5,25,new-york-giants
Carlos Basham,LB,274, 6-3,26,new-york-giants
Elijah Garcia,DT,302, 6-5,26,new-york-giants
Isaiah Hodgins,WR,200, 6-3,26,new-york-giants
Bryan Hudson,C,305, 6-5,23,new-york-giants
Kearis Jackson,WR,196, 5-11,24,new-york-giants
Marcellus Johnson,OT,307, 6-4,24,new-york-giants
Raheem Layne,DB,192, 5-11,25,new-york-giants
Jude McAtamney,K,205, 6-2,24,new-york-giants
Joshua Miles,OT,325, 6-5,28,new-york-giants
Dante Miller,RB,200, 5-9,25,new-york-giants
Jimmy Morrissey,C,305, 6-4,26,new-york-giants
Jordan Murray,TE,240, 6-5,24,new-york-giants
Tyre Phillips,OT,330, 6-5,27,new-york-giants
Casey Rogers,DT,305, 6-5,25,new-york-giants
Greg Stroman,DB,180, 5-11,28,new-york-giants
Benton Whitley,LB,260, 6-4,25,new-york-giants
Curtis Bolton,LB,228, 6-0,28,new-york-giants
Matt Haack,P,205, 6-0,30,new-york-giants
Jakob Johnson,RB,255, 6-3,29,new-york-giants
Daniel Jones,QB,230, 6-5,27,new-york-giants
Greg Joseph,K,208, 6-0,30,new-york-giants
Nick McCloud,DB,193, 6-1,26,new-york-giants
Duke Shelley,DB,183, 5-8,28,new-york-giants
Saquon Barkley,RB,233, 6-0,27,philadelphia-eagles
Zack Baun,LB,225, 6-3,27,philadelphia-eagles
Mekhi Becton,OT,363, 6-7,25,philadelphia-eagles
Reed Blankenship,DB,203, 6-1,25,philadelphia-eagles
Thomas Booker,WR,226, 6-1,27,philadelphia-eagles
Sydney Brown,DB,211, 5-10,24,philadelphia-eagles
Oren Burks,LB,233, 6-3,29,philadelphia-eagles
Grant Calcaterra,TE,240, 6-4,25,philadelphia-eagles
Parris Campbell,WR,208, 6-0,27,philadelphia-eagles
Jalen Carter,DT,314, 6-3,23,philadelphia-eagles
Britain Covey,WR,173, 5-8,27,philadelphia-eagles
Jordan Davis,DT,336, 6-6,24,philadelphia-eagles
Nakobe Dean,LB,231, 5-11,23,philadelphia-eagles
Cooper DeJean,DB,198, 6-0,21,philadelphia-eagles
Landon Dickerson,OG,332, 6-6,26,philadelphia-eagles
Jahan Dotson,WR,184, 5-11,24,philadelphia-eagles
Jack Driscoll,OT,312, 6-5,27,philadelphia-eagles
Jake Elliott,K,167, 5-9,29,philadelphia-eagles
Kenny Gainwell,RB,200, 5-9,25,philadelphia-eagles
